posid,PBMC/D0,PBMC/D1,PBMC/W2,PBMC/W8,PBMC/Y15,PBMC/Y4,PBMC/Y8,TCELL/M2,patient
chr14+71554940,1,0,0,0,0,0,0,0,pin22
chr14+75250089,0,0,0,1,0,0,0,0,pin22
chr14+76325059,0,0,1,0,0,0,0,0,pin22
chr15-39626525,0,0,0,0,0,0,0,1,pin22
chr15-59389219,0,0,0,1,0,0,0,0,pin22
chr15-61342272,0,0,0,0,1,0,0,0,pin22
chr15-83918578,0,0,0,0,0,0,1,0,pin22
chr15+101198857,0,0,1,0,0,0,0,0,pin22
chr15+34397601,0,0,0,0,1,0,0,0,pin22
chr15+90038861,0,0,0,1,0,0,0,0,pin22
chr16-11964684,0,0,0,1,0,0,0,0,pin22
chr16-1538011,0,0,0,2,0,0,0,0,pin22
chr16-23871655,0,0,1,0,0,0,0,0,pin22
chr16-25022779,0,0,0,1,0,0,0,0,pin22
chr16-25049821,0,0,0,0,0,0,1,0,pin22
chr16-25758793,0,0,1,0,0,0,0,0,pin22
chr16-27316670,0,1,0,0,0,0,0,0,pin22
chr16-84549250,0,0,1,0,0,0,0,0,pin22
chr16+1504183,0,0,0,1,0,0,0,0,pin22
chr16+3950026,0,0,1,0,0,0,0,0,pin22
chr17-158873,0,0,0,1,0,0,0,0,pin22
chr17-21638035,0,0,1,0,0,0,0,0,pin22
chr17-39938909,0,0,1,0,0,0,0,0,pin22
chr17-42247810,0,0,0,1,0,0,0,0,pin22
chr17-42656524,0,0,0,1,0,0,0,0,pin22
chr17-439662,0,0,0,1,0,0,0,0,pin22
chr17-44246446,0,0,0,3,0,0,0,0,pin22
chr17-50330935,0,1,0,0,0,0,0,0,pin22
chr17-58343941,0,0,0,0,0,0,0,1,pin22
chr17-65308384,0,0,0,1,0,0,0,0,pin22
chr17-66513015,0,0,1,0,0,0,0,0,pin22
chr17-74492217,0,0,0,1,0,0,0,0,pin22
chr17-77644664,0,1,0,0,0,0,0,0,pin22
chr17-80877261,2,0,0,0,0,0,0,0,pin22
chr17-81281603,0,0,0,1,0,0,0,0,pin22
chr17-82894148,0,0,0,0,0,1,0,0,pin22
chr17+14748055,0,0,0,0,0,0,1,0,pin22
chr17+19479465,0,0,0,1,0,0,0,0,pin22
chr17+2394446,0,0,0,0,0,0,2,0,pin22
chr17+3764818,0,0,0,1,0,0,0,0,pin22
chr17+41868175,1,0,0,0,0,0,0,0,pin22
chr17+46473161,0,0,0,1,0,0,0,0,pin22
chr17+51225873,0,0,1,0,0,0,0,0,pin22
chr17+68462363,0,0,0,0,0,0,1,0,pin22
chr17+75204777,1,0,0,0,0,0,0,0,pin22
chr17+77439110,0,0,0,3,0,0,0,0,pin22
chr18-2642254,0,0,0,1,0,0,0,0,pin22
chr18-35158780,0,0,1,0,0,0,0,0,pin22
chr18-58885777,0,0,1,0,0,0,0,0,pin22
chr18+2983554,0,0,0,0,0,0,0,1,pin22
chr18+46251107,1,0,0,0,0,0,0,0,pin22
chr18+50878324,0,0,2,0,0,0,0,0,pin22
chr19-10236054,1,0,0,0,0,0,0,0,pin22
chr19-12785471,1,0,0,0,0,0,0,0,pin22
chr19-48390635,1,0,0,0,0,0,0,0,pin22
chr19-6738189,0,0,1,0,0,0,0,0,pin22
chr19+17216728,0,0,0,1,0,0,0,0,pin22
chr19+35477692,0,0,1,0,0,0,0,0,pin22
chr19+39400829,0,0,2,0,0,0,0,0,pin22
chr19+49409524,1,0,0,0,0,0,0,0,pin22
chr19+5009921,0,0,0,1,0,0,0,0,pin22
chr19+54519609,0,0,2,0,0,0,0,0,pin22
chr19+699941,0,0,0,1,0,0,0,0,pin22
chr2-10740956,0,0,0,1,0,0,0,0,pin22
chr2-113251793,1,0,0,0,0,0,0,0,pin22
chr2-144327722,0,0,0,0,0,0,1,0,pin22
chr2-190093251,0,0,0,1,0,0,0,0,pin22
chr2-222186153,0,0,1,0,0,0,0,0,pin22
chr2-228117421,0,0,0,1,0,0,0,0,pin22
chr2-239327513,1,0,0,0,0,0,0,0,pin22
chr2-25773953,0,0,1,0,0,0,0,0,pin22
chr2-31081,0,0,1,0,0,0,0,0,pin22
chr2-59551266,0,0,1,0,0,0,0,0,pin22
chr2-74498357,0,0,0,1,0,0,0,0,pin22
chr2+127293984,0,0,1,0,0,0,0,0,pin22
chr2+134198235,0,0,0,0,0,0,1,0,pin22
chr2+231668318,0,0,0,1,0,0,0,0,pin22
chr2+231739821,0,0,0,1,0,0,0,0,pin22
chr2+231774122,0,0,0,1,0,0,0,0,pin22
chr2+25454642,1,0,0,0,0,0,0,0,pin22
chr2+25797064,2,0,0,0,0,0,0,0,pin22
chr2+27081863,0,0,1,0,0,0,0,0,pin22
chr2+29594609,0,0,1,0,0,0,0,0,pin22
chr2+30362947,1,0,0,0,0,0,0,0,pin22
chr2+74585091,0,0,1,0,0,0,0,0,pin22
chr2+86104628,0,0,1,0,0,0,0,0,pin22
chr20-1117889,0,0,0,8,0,0,0,0,pin22
chr20-35093534,0,0,1,0,0,0,0,0,pin22
chr20-4131708,0,0,0,0,1,0,0,0,pin22
chr20-46554122,0,0,0,2,0,0,0,0,pin22
chr20-50797934,0,0,0,1,0,0,0,0,pin22
chr20-60677922,2,0,0,0,0,0,0,0,pin22
chr20+18509777,0,0,0,1,0,0,0,0,pin22
chr20+48826152,0,0,0,0,0,2,0,0,pin22
chr20+49590211,0,0,0,1,0,0,0,0,pin22
chr20+64005875,1,0,0,0,0,0,0,0,pin22
chr21-23835976,0,0,0,1,0,0,0,0,pin22
chr21-35343526,0,0,0,0,1,0,0,0,pin22
chr21-37367102,0,0,2,0,0,0,0,0,pin22
chr21-39003719,0,0,0,0,0,0,1,0,pin22
chr21+14590740,0,2,0,0,0,0,0,0,pin22
chr21+18276854,0,0,1,0,0,0,0,0,pin22
chr21+33931843,0,0,0,1,0,0,0,0,pin22
chr22+17449068,0,0,0,1,0,0,0,0,pin22
chr22+39907187,0,1,0,0,0,0,0,0,pin22
chr3-10027386,1,0,0,0,0,0,0,0,pin22
chr3-10243035,0,0,0,1,0,0,0,0,pin22
chr3-119804027,0,0,0,1,0,0,0,0,pin22
chr3-128799107,0,0,1,0,0,0,0,0,pin22
chr3-149225722,0,0,0,0,2,0,0,0,pin22
chr3-190618326,0,0,0,0,0,0,0,1,pin22
chr3-196781932,0,0,0,1,0,0,0,0,pin22
chr3-27453927,0,0,2,0,0,0,0,0,pin22
chr3-29284043,1,0,0,0,0,0,0,0,pin22
chr3-41675418,0,0,0,1,0,0,0,0,pin22
chr3-46268488,0,0,1,0,0,0,0,0,pin22
chr3-63855646,1,0,0,0,0,0,0,0,pin22
chr3-65991843,0,0,0,1,0,0,0,0,pin22
chr3-66071519,0,0,0,1,0,0,0,0,pin22
chr3-7880625,0,0,0,1,0,0,0,0,pin22
chr3+11195465,1,0,0,0,0,0,0,0,pin22
chr3+114223871,0,0,1,0,0,0,0,0,pin22
chr3+141236931,0,0,0,1,0,0,0,0,pin22
chr3+148988067,1,0,0,0,0,0,0,0,pin22
chr3+158377754,0,0,1,0,0,0,0,0,pin22
chr3+170230519,0,0,0,1,0,0,0,0,pin22
chr3+172535225,0,0,0,0,0,0,1,0,pin22
chr3+181922830,0,0,0,1,0,0,0,0,pin22
chr3+189306836,1,0,0,0,0,0,0,0,pin22
chr3+30643748,0,0,0,0,0,0,1,0,pin22
chr3+51661151,0,0,0,1,0,0,0,0,pin22
chr3+63949493,0,0,1,0,0,0,0,0,pin22
chr4-101989280,0,0,1,0,0,0,0,0,pin22
chr4-149646907,0,0,1,0,0,0,0,0,pin22
chr4-151029929,0,0,0,1,0,0,0,0,pin22
chr4-173168004,0,0,0,0,0,0,1,0,pin22
chr4-174538509,1,0,0,0,0,0,0,0,pin22
chr4-21506026,0,0,1,0,0,0,0,0,pin22
chr4-55337941,0,1,0,0,0,0,0,0,pin22
chr4-82902959,0,0,0,0,0,1,0,0,pin22
chr4+118277848,0,0,0,1,0,0,0,0,pin22
chr4+155585102,1,0,0,0,0,0,0,0,pin22
chr4+169432868,0,0,1,0,0,0,0,0,pin22
chr4+37685124,2,0,0,0,0,0,0,0,pin22
chr4+38241227,0,0,1,0,0,0,0,0,pin22
chr4+70814844,0,0,1,0,0,0,0,0,pin22
chr4+76841817,0,0,1,0,0,0,0,0,pin22
chr4+77858791,1,0,0,0,0,0,0,0,pin22
chr5-129007272,0,0,0,1,0,0,0,0,pin22
chr5-160343530,0,1,0,0,0,0,0,0,pin22
chr5-16692343,0,0,1,0,0,0,0,0,pin22
chr5-31788294,0,0,1,0,0,0,0,0,pin22
chr5-40790641,0,0,1,0,0,0,0,0,pin22
chr5-87082204,0,0,1,0,0,0,0,0,pin22
chr5+10761661,1,0,0,0,0,0,0,0,pin22
chr5+132466219,1,0,0,0,0,0,0,0,pin22
chr5+135400441,0,0,0,0,0,0,1,0,pin22
chr5+137355092,0,0,0,1,0,0,0,0,pin22
chr5+152692031,0,0,0,1,0,0,0,0,pin22
chr5+56840337,0,0,0,1,0,0,0,0,pin22
chr5+61275810,0,0,1,0,0,0,0,0,pin22
chr6-107472184,0,0,0,1,0,0,0,0,pin22
chr6-134891038,0,0,1,0,0,0,0,0,pin22
chr6-155155683,0,0,0,1,0,0,0,0,pin22
chr6-157499639,1,0,0,0,0,0,0,0,pin22
chr6-158014571,1,0,0,0,0,0,0,0,pin22
chr6-15902604,0,0,0,0,0,1,0,0,pin22
chr6-18741480,0,0,1,0,0,0,0,0,pin22
chr6-45830224,0,0,0,0,0,1,0,0,pin22
chr6-97908014,0,0,0,1,0,0,0,0,pin22
chr6+141483349,0,0,3,0,0,0,0,0,pin22
chr6+149133904,0,0,0,1,0,0,0,0,pin22
chr6+158645176,1,0,0,0,0,0,0,0,pin22
chr6+159019154,0,0,0,0,0,0,0,1,pin22
chr6+20534908,0,0,0,1,0,0,0,0,pin22
chr6+36547838,0,2,0,0,0,0,0,0,pin22
chr6+85452261,0,0,0,0,0,1,0,0,pin22
chr6+95576687,1,0,0,0,0,0,0,0,pin22
chr6+99493688,0,0,0,1,0,0,0,0,pin22
chr7-105511590,0,0,0,1,0,0,0,0,pin22
chr7-134710656,1,0,0,0,0,0,0,0,pin22
chr7-150686109,0,0,0,1,0,0,0,0,pin22
chr7-32503745,0,0,0,0,1,0,0,0,pin22
chr7-8175952,1,0,0,0,0,0,0,0,pin22
chr7+117050679,0,0,0,1,0,0,0,0,pin22
chr7+128176375,0,0,0,1,0,0,0,0,pin22
chr7+3094687,1,0,0,0,0,0,0,0,pin22
chr7+32874742,0,0,0,1,0,0,0,0,pin22
chr7+74131713,0,0,1,0,0,0,0,0,pin22
chr7+87547476,0,0,0,1,0,0,0,0,pin22
chr8-100436841,0,0,1,0,0,0,0,0,pin22
chr8-116877063,0,1,0,0,0,0,0,0,pin22
chr8-124630831,0,0,0,0,0,0,2,0,pin22
chr8-17680292,0,0,0,1,0,0,0,0,pin22
chr8-28370000,0,0,1,0,0,0,0,0,pin22
chr8-29198592,0,0,0,1,0,0,0,0,pin22
chr8-29529188,0,1,0,0,0,0,0,0,pin22
chr8-70471493,0,0,1,0,0,0,0,0,pin22
chr8-81096052,1,0,0,0,0,0,0,0,pin22
chr8-8848971,0,0,0,1,0,0,0,0,pin22
chr8+103339160,0,0,1,0,0,0,0,0,pin22
chr8+123495058,0,0,0,1,0,0,0,0,pin22
chr8+143387513,0,0,0,1,0,0,0,0,pin22
chr8+144407009,0,0,1,0,0,0,0,0,pin22
chr8+32843582,0,0,1,0,0,0,0,0,pin22
chr8+37892381,0,0,1,0,0,0,0,0,pin22
chr8+41715866,0,0,0,0,0,1,0,0,pin22
chr9-104960179,0,0,0,0,0,0,0,1,pin22
chr9-94871944,0,0,1,0,0,0,0,0,pin22
chr9+124700410,0,0,0,1,0,0,0,0,pin22
chr9+126184612,0,0,0,1,0,0,0,0,pin22
chr9+27346912,0,0,1,0,0,0,0,0,pin22
chr9+27732924,0,0,0,0,0,0,1,0,pin22
chr9+33082845,1,0,0,0,0,0,0,0,pin22
chrX-112409644,0,0,1,0,0,0,0,0,pin22
chrX-119577192,0,0,0,1,0,0,0,0,pin22
chrX-131986109,0,0,1,0,0,0,0,0,pin22
chrX-136621091,0,1,0,0,0,0,0,0,pin22
chrX-19828610,0,0,0,1,0,0,0,0,pin22
chrX-19844435,0,1,0,0,0,0,0,0,pin22
chrX-77961919,1,0,0,0,0,0,0,0,pin22
chrX+131846800,0,0,1,0,0,0,0,0,pin22
chrX+23727009,0,0,0,1,0,0,0,0,pin22
chrX+39859142,0,0,0,6,0,0,0,0,pin22
chrX+71638221,1,0,0,0,0,0,0,0,pin22
chrY-7106944,2,0,0,0,0,0,0,0,pin22
