chromosome	position	strand	refGenome	reads	subject	externalSampleID	internalSampleID	cellType	timePoint	estAbund	relAbund	nearestFeature	inFeature	nearestFeatureStrand	inFeatureExon	nearestFeatureDist	nearestOncoFeature	nearestOncoFeatureDist
chr15	43239125	+	hg38	1	pin25	xxx	GTSP4694	PBMC	D1	1	2.941176470588235	TGM5	TRUE	-	FALSE	-0	B2M	-1472360
chr16	3076201	+	hg38	4837	pin25	xxx	GTSP4694	PBMC	D1	1	2.941176470588235	IL32	FALSE	+	FALSE	6381	TRAP1	581834
chr17	752848	-	hg38	3463	pin25	xxx	GTSP4694	PBMC	D1	1	2.941176470588235	DBIL5P	TRUE	+	TRUE	0	FAM57A	9879
chr19	2567563	-	hg38	12	pin25	xxx	GTSP4694	PBMC	D1	1	2.941176470588235	GNG7	TRUE	-	FALSE	-0	SPPL2B	212460
chr19	7209067	+	hg38	15910	pin25	xxx	GTSP4694	PBMC	D1	1	2.941176470588235	INSR	TRUE	-	FALSE	0	VAV1	351700
chr2	121723188	-	hg38	2938	pin25	xxx	GTSP4694	PBMC	D1	1	2.941176470588235	NIFK-AS1	TRUE	+	FALSE	-0	GLI2	730534
chr2	126662544	-	hg38	10229	pin25	xxx	GTSP4694	PBMC	D1	1	2.941176470588235	GYPC	TRUE	+	FALSE	0	BIN1	385477
chr2	74168413	+	hg38	19737	pin25	xxx	GTSP4694	PBMC	D1	1	2.941176470588235	MOB1A	TRUE	-	FALSE	0	LOXL3	363843
chr21	35046712	+	hg38	2163	pin25	xxx	GTSP4694	PBMC	D1	1	2.941176470588235	RUNX1	TRUE	-	FALSE	0	RUNX1	0
chr21	43782774	+	hg38	10432	pin25	xxx	GTSP4694	PBMC	D1	1	2.941176470588235	CSTB	FALSE	-	FALSE	-6398	CSTB	-6398
chr22	36781609	+	hg38	687	pin25	xxx	GTSP4694	PBMC	D1	1	2.941176470588235	IFT27	FALSE	-	FALSE	-5475	TMPRSS6	283825
chr3	174066481	+	hg38	14035	pin25	xxx	GTSP4694	PBMC	D1	1	2.941176470588235	NLGN1	TRUE	+	FALSE	-0	ECT2	1245006
chr6	158651580	+	hg38	928	pin25	xxx	GTSP4694	PBMC	D1	1	2.941176470588235	SYTL3	TRUE	+	FALSE	0	ZDHHC14	977634
chr7	133737202	-	hg38	1229	pin25	xxx	GTSP4694	PBMC	D1	1	2.941176470588235	EXOC4	TRUE	+	FALSE	-0	EXOC4	-0
chr7	74654991	+	hg38	389	pin25	xxx	GTSP4694	PBMC	D1	1	2.941176470588235	GTF2I	FALSE	+	FALSE	-2672	LIMK1	532465
chr8	102808583	+	hg38	13	pin25	xxx	GTSP4694	PBMC	D1	1	2.941176470588235	GASAL1	TRUE	+	FALSE	0	BAALC	-332108
chr8	128672940	+	hg38	95	pin25	xxx	GTSP4694	PBMC	D1	1	2.941176470588235	LINC00824	FALSE	-	FALSE	-108260	PVT1	571686
chr9	35620409	+	hg38	20	pin25	xxx	GTSP4694	PBMC	D1	1	2.941176470588235	CD72	FALSE	-	FALSE	-1981	RMRP	37340
chrX	109975866	-	hg38	3804	pin25	xxx	GTSP4694	PBMC	D1	1	2.941176470588235	TMEM164	FALSE	+	FALSE	-26767	TDGF1P3	-544444
chr1	109892335	-	hg38	338	pin25	xxx	GTSP4703	PBMC	W2	1	0.21978021978021978	CSF1	FALSE	+	FALSE	-18274	CSF1	-18274
chr1	113803397	-	hg38	421	pin25	xxx	GTSP4703	PBMC	W2	1	0.21978021978021978	RSBN1	TRUE	-	FALSE	0	TRIM33	589378
chr1	116753223	-	hg38	2804	pin25	xxx	GTSP4703	PBMC	W2	1	0.21978021978021978	CD2	FALSE	+	FALSE	-1205	VTCN1	390362
chr1	145984341	-	hg38	98	pin25	xxx	GTSP4703	PBMC	W2	1	0.21978021978021978	POLR3GL	FALSE	+	FALSE	5492	PIAS3	-125259
chr1	151347913	-	hg38	1197	pin25	xxx	GTSP4703	PBMC	W2	1	0.21978021978021978	GBAT2	FALSE	+	FALSE	21	RFX5	-619
chr1	155637448	-	hg38	955	pin25	xxx	GTSP4703	PBMC	W2	1	0.21978021978021978	YY1AP1	FALSE	-	FALSE	21992	ARHGEF2	309389
chr1	161410827	-	hg38	4	pin25	xxx	GTSP4703	PBMC	W2	1	0.21978021978021978	CFAP126	FALSE	-	FALSE	-42943	SDHC	46075
chr1	171741743	-	hg38	93	pin25	xxx	GTSP4703	PBMC	W2	1	0.21978021978021978	VAMP4	TRUE	-	FALSE	0	PRRX1	1002342
chr1	172345260	-	hg38	92	pin25	xxx	GTSP4703	PBMC	W2	1	0.21978021978021978	DNM3	TRUE	+	FALSE	-0	TNFSF18	695958
chr1	172703239	-	hg38	159	pin25	xxx	GTSP4703	PBMC	W2	1	0.21978021978021978	FASLG	FALSE	+	FALSE	36365	TNFSF18	337979
chr1	182679046	-	hg38	575	pin25	xxx	GTSP4703	PBMC	W2	1	0.21978021978021978	RGS8	FALSE	-	FALSE	-6113	DHX9	-160256
chr1	198172809	-	hg38	972	pin25	xxx	GTSP4703	PBMC	W2	1	0.21978021978021978	NEK7	TRUE	+	FALSE	0	ASPM	-1026114
chr1	198642102	-	hg38	6	pin25	xxx	GTSP4703	PBMC	W2	1	0.21978021978021978	PTPRC	TRUE	+	FALSE	0	ASPM	-1495407
chr1	221828294	-	hg38	29	pin25	xxx	GTSP4703	PBMC	W2	1	0.21978021978021978	LINC01655	TRUE	-	FALSE	-0	DUSP10	-86117
chr1	230157065	-	hg38	15	pin25	xxx	GTSP4703	PBMC	W2	1	0.21978021978021978	GALNT2	TRUE	+	FALSE	0	ABCB10	-598369
chr1	27366451	-	hg38	111	pin25	xxx	GTSP4703	PBMC	W2	1	0.21978021978021978	MAP3K6	TRUE	-	TRUE	0	MAP3K6	0
chr1	32821432	-	hg38	123	pin25	xxx	GTSP4703	PBMC	W2	1	0.21978021978021978	S100PBP	TRUE	+	FALSE	0	TRIM62	323968
chr1	59390767	-	hg38	2	pin25	xxx	GTSP4703	PBMC	W2	1	0.21978021978021978	FGGY	TRUE	+	FALSE	0	JUN	-606653
chr1	77682905	-	hg38	1015	pin25	xxx	GTSP4703	PBMC	W2	1	0.21978021978021978	ZZZ3	TRUE	-	FALSE	0	FUBP1	261144
chr1	7941331	-	hg38	13	pin25	xxx	GTSP4703	PBMC	W2	1	0.21978021978021978	TNFRSF9	TRUE	-	FALSE	0	ERRFI1	70386
chr1	100166087	+	hg38	927	pin25	xxx	GTSP4703	PBMC	W2	1	0.21978021978021978	LRRC39	TRUE	-	FALSE	0	COL11A1	2710378
chr1	12440431	+	hg38	67	pin25	xxx	GTSP4703	PBMC	W2	1	0.21978021978021978	VPS13D	TRUE	+	FALSE	-0	DHRS3	127477
chr1	13671181	+	hg38	1	pin25	xxx	GTSP4703	PBMC	W2	1	0.21978021978021978	PRDM2	FALSE	+	FALSE	-29057	PRDM2	-29057
chr1	151165051	+	hg38	1104	pin25	xxx	GTSP4703	PBMC	W2	1	0.21978021978021978	TNFAIP8L2-SCNM1,LYSMD1	TRUE	+,-	FALSE	0	MLLT11	96553
chr1	156218276	+	hg38	1272	pin25	xxx	GTSP4703	PBMC	W2	1	0.21978021978021978	PMF1,PMF1-BGLAP	TRUE	+,+	FALSE	-0	RHBG	-150911
chr1	157147069	+	hg38	4	pin25	xxx	GTSP4703	PBMC	W2	1	0.21978021978021978	ETV3	FALSE	-	FALSE	-8477	ETV3	-8477
chr1	161200209	+	hg38	31	pin25	xxx	GTSP4703	PBMC	W2	1	0.21978021978021978	NDUFS2	TRUE	+	FALSE	0	NECTIN4	-110613
chr1	174968205	+	hg38	24	pin25	xxx	GTSP4703	PBMC	W2	1	0.21978021978021978	RABGAP1L	TRUE	+	FALSE	-0	RABGAP1L	-0
chr1	186741368	+	hg38	1	pin25	xxx	GTSP4703	PBMC	W2	1	0.21978021978021978	PACERR	FALSE	+	FALSE	59921	PTGS2	-60940
chr1	198174852	+	hg38	186	pin25	xxx	GTSP4703	PBMC	W2	1	0.21978021978021978	NEK7	TRUE	+	FALSE	0	ASPM	-1028157
chr1	204101767	+	hg38	735	pin25	xxx	GTSP4703	PBMC	W2	1	0.21978021978021978	SOX13	TRUE	+	FALSE	-0	MDM4	-414610
chr1	231273735	+	hg38	798	pin25	xxx	GTSP4703	PBMC	W2	1	0.21978021978021978	GNPAT	TRUE	+	FALSE	-0	EGLN1	90014
chr1	234871639	+	hg38	215	pin25	xxx	GTSP4703	PBMC	W2	1	0.21978021978021978	LOC101927851	FALSE	-	FALSE	85701	RBM34	259542
chr1	235882392	+	hg38	1	pin25	xxx	GTSP4703	PBMC	W2	1	0.21978021978021978	LYST	TRUE	-	FALSE	0	RBM34	-720775
chr1	25640693	+	hg38	3	pin25	xxx	GTSP4703	PBMC	W2	1	0.21978021978021978	MAN1C1	TRUE	+	FALSE	0	RSRP1	-302438
chr1	28927209	+	hg38	1	pin25	xxx	GTSP4703	PBMC	W2	1	0.21978021978021978	EPB41	TRUE	+	FALSE	0	PTPRU	-309305
chr1	58942416	+	hg38	23	pin25	xxx	GTSP4703	PBMC	W2	1	0.21978021978021978	LINC01135	FALSE	+	FALSE	42703	JUN	-158302
chr1	8944616	+	hg38	32	pin25	xxx	GTSP4703	PBMC	W2	1	0.21978021978021978	CA6	FALSE	+	FALSE	-1216	ENO1	-65929
chr10	15325020	-	hg38	4553	pin25	xxx	GTSP4703	PBMC	W2	1	0.21978021978021978	FAM171A1	TRUE	-	FALSE	0	CUBN	1498944
chr10	17200192	-	hg38	2	pin25	xxx	GTSP4703	PBMC	W2	1	0.21978021978021978	TRDMT1	TRUE	-	FALSE	0	CUBN	-70374
chr10	3803706	-	hg38	1	pin25	xxx	GTSP4703	PBMC	W2	1	0.21978021978021978	KLF6	FALSE	-	FALSE	-18424	KLF6	-18424
chr10	46268283	-	hg38	2	pin25	xxx	GTSP4703	PBMC	W2	1	0.21978021978021978	ANTXRLP1	TRUE	-	FALSE	0	NCOA4	-237568
chr10	47207790	-	hg38	114	pin25	xxx	GTSP4703	PBMC	W2	1	0.21978021978021978	GDF10	FALSE	+	FALSE	-92432	GDF10	-92432
chr10	61940555	-	hg38	23	pin25	xxx	GTSP4703	PBMC	W2	1	0.21978021978021978	ARID5B	TRUE	+	FALSE	0	EGR2	871439
chr10	63005292	-	hg38	54	pin25	xxx	GTSP4703	PBMC	W2	1	0.21978021978021978	NRBF2	FALSE	+	FALSE	-127953	EGR2	-186124
chr10	74590657	-	hg38	121	pin25	xxx	GTSP4703	PBMC	W2	1	0.21978021978021978	ADK	TRUE	+	FALSE	-0	KAT6B	-235754
chr10	84307459	-	hg38	118	pin25	xxx	GTSP4703	PBMC	W2	1	0.21978021978021978	LINC00858	FALSE	+	FALSE	12799	BMPR1A	-2449178
chr10	11176383	+	hg38	5	pin25	xxx	GTSP4703	PBMC	W2	1	0.21978021978021978	CELF2	TRUE	+	FALSE	-0	GATA3	3101181
chr10	121926602	+	hg38	105	pin25	xxx	GTSP4703	PBMC	W2	1	0.21978021978021978	ATE1	TRUE	-	FALSE	0	FGFR2	-328143
chr10	3423667	+	hg38	1827	pin25	xxx	GTSP4703	PBMC	W2	1	0.21978021978021978	LOC105376360	TRUE	+	FALSE	0	KLF6	352327
chr10	70578093	+	hg38	880	pin25	xxx	GTSP4703	PBMC	W2	1	0.21978021978021978	PALD1	FALSE	+	FALSE	9642	PRF1	19253
chr10	70743078	+	hg38	2685	pin25	xxx	GTSP4703	PBMC	W2	1	0.21978021978021978	ADAMTS14	TRUE	+	FALSE	-0	PRF1	-140289
chr10	7489505	+	hg38	277	pin25	xxx	GTSP4703	PBMC	W2	1	0.21978021978021978	ITIH5	FALSE	-	FALSE	69763	SFMBT2	-78018
chr10	86414360	+	hg38	24	pin25	xxx	GTSP4703	PBMC	W2	1	0.21978021978021978	WAPL	FALSE	-	FALSE	20894	BMPR1A	-342277
chr10	87838314	+	hg38	1	pin25	xxx	GTSP4703	PBMC	W2	1	0.21978021978021978	CFL1P1	TRUE	+	FALSE	-0	PTEN	-25122
chr10	96153523	+	hg38	114	pin25	xxx	GTSP4703	PBMC	W2	1	0.21978021978021978	ZNF518A	TRUE	+	FALSE	0	FRAT1	-1165740
chr11	10541130	-	hg38	139	pin25	xxx	GTSP4703	PBMC	W2	1	0.21978021978021978	RNF141	TRUE	-	TRUE	0	MRVI1	31959
chr11	110347577	-	hg38	147	pin25	xxx	GTSP4703	PBMC	W2	1	0.21978021978021978	LOC105369486	FALSE	+	FALSE	-7535	ARHGAP20	229456
chr11	12158101	-	hg38	188	pin25	xxx	GTSP4703	PBMC	W2	1	0.21978021978021978	MICAL2	TRUE	+	FALSE	0	PTH	1333942
chr11	14769614	-	hg38	4	pin25	xxx	GTSP4703	PBMC	W2	1	0.21978021978021978	PDE3B	TRUE	+	FALSE	-0	CALCA	197053
chr11	28108985	-	hg38	7	pin25	xxx	GTSP4703	PBMC	W2	1	0.21978021978021978	METTL15	TRUE	+	FALSE	0	DNAJC24	-3260843
chr11	308759	-	hg38	366	pin25	xxx	GTSP4703	PBMC	W2	1	0.21978021978021978	IFITM2	TRUE	+	FALSE	-0	PGGHG	13070
chr11	355490	-	hg38	50	pin25	xxx	GTSP4703	PBMC	W2	1	0.21978021978021978	B4GALNT4	FALSE	+	FALSE	-14303	PGGHG	59801
chr11	44568068	-	hg38	1101	pin25	xxx	GTSP4703	PBMC	W2	1	0.21978021978021978	CD82	TRUE	+	FALSE	0	CD82	0
chr11	61092283	-	hg38	159	pin25	xxx	GTSP4703	PBMC	W2	1	0.21978021978021978	CD5	FALSE	+	FALSE	-1678	CD6	71905
chr11	6606736	-	hg38	2380	pin25	xxx	GTSP4703	PBMC	W2	1	0.21978021978021978	ILK	TRUE	+	FALSE	0	EIF3F	-1380582
chr11	6744091	-	hg38	48	pin25	xxx	GTSP4703	PBMC	W2	1	0.21978021978021978	GVINP1	FALSE	-	FALSE	-22211	EIF3F	-1243227
chr11	68038712	-	hg38	54	pin25	xxx	GTSP4703	PBMC	W2	1	0.21978021978021978	TCIRG1	FALSE	+	FALSE	-281	TCIRG1	-281
chr11	95690112	-	hg38	72	pin25	xxx	GTSP4703	PBMC	W2	1	0.21978021978021978	FAM76B	FALSE	-	FALSE	78828	MAML2	286479
chr11	96074517	-	hg38	424	pin25	xxx	GTSP4703	PBMC	W2	1	0.21978021978021978	MAML2	TRUE	-	FALSE	-0	MAML2	-0
chr11	96076217	-	hg38	1419	pin25	xxx	GTSP4703	PBMC	W2	1	0.21978021978021978	MAML2	TRUE	-	FALSE	-0	MAML2	-0
chr11	102316080	+	hg38	54	pin25	xxx	GTSP4703	PBMC	W2	1	0.21978021978021978	BIRC3	FALSE	+	FALSE	-1368	BIRC3	-1368
chr11	10859629	+	hg38	1327	pin25	xxx	GTSP4703	PBMC	W2	1	0.21978021978021978	ZBED5-AS1	TRUE	+	FALSE	0	MRVI1	-165640
chr11	12165851	+	hg38	1889	pin25	xxx	GTSP4703	PBMC	W2	1	0.21978021978021978	MICAL2	TRUE	+	FALSE	0	PTH	1326192
chr11	122698804	+	hg38	145	pin25	xxx	GTSP4703	PBMC	W2	1	0.21978021978021978	UBASH3B	TRUE	+	FALSE	0	MIR125B1	-598959
chr11	128965566	+	hg38	754	pin25	xxx	GTSP4703	PBMC	W2	1	0.21978021978021978	ARHGAP32	TRUE	-	TRUE	-0	FLI1	152298
chr11	22666529	+	hg38	40	pin25	xxx	GTSP4703	PBMC	W2	1	0.21978021978021978	GAS2	FALSE	+	FALSE	-83	FANCF	-40687
chr11	355232	+	hg38	1369	pin25	xxx	GTSP4703	PBMC	W2	1	0.21978021978021978	B4GALNT4	FALSE	+	FALSE	-14561	PGGHG	59543
chr11	58392518	+	hg38	6	pin25	xxx	GTSP4703	PBMC	W2	1	0.21978021978021978	OR5B3	FALSE	-	FALSE	9945	CTNND1	573337
chr11	60982157	+	hg38	103	pin25	xxx	GTSP4703	PBMC	W2	1	0.21978021978021978	CD6	TRUE	+	FALSE	0	CD6	0
chr11	61333418	+	hg38	154	pin25	xxx	GTSP4703	PBMC	W2	1	0.21978021978021978	TKFC	TRUE	+	FALSE	0	SDHAF2	-96705
chr11	6619162	+	hg38	1396	pin25	xxx	GTSP4703	PBMC	W2	1	0.21978021978021978	TPP1	TRUE	-	FALSE	0	EIF3F	-1368156
chr11	6677860	+	hg38	1452	pin25	xxx	GTSP4703	PBMC	W2	1	0.21978021978021978	MRPL17	FALSE	-	FALSE	2523	EIF3F	-1309458
chr11	6742739	+	hg38	186	pin25	xxx	GTSP4703	PBMC	W2	1	0.21978021978021978	GVINP1	FALSE	-	FALSE	-20859	EIF3F	-1244579
chr11	95697118	+	hg38	18	pin25	xxx	GTSP4703	PBMC	W2	1	0.21978021978021978	FAM76B	FALSE	-	FALSE	71822	MAML2	279473
chr11	96078596	+	hg38	255	pin25	xxx	GTSP4703	PBMC	W2	1	0.21978021978021978	MAML2	TRUE	-	FALSE	-0	MAML2	-0
chr12	104934307	-	hg38	1	pin25	xxx	GTSP4703	PBMC	W2	1	0.21978021978021978	SLC41A2	TRUE	-	FALSE	0	HSP90B1	986376
chr12	112097164	-	hg38	41	pin25	xxx	GTSP4703	PBMC	W2	1	0.21978021978021978	NAA25	TRUE	-	FALSE	0	ALDH2	287178
chr12	118358720	-	hg38	967	pin25	xxx	GTSP4703	PBMC	W2	1	0.21978021978021978	TAOK3	TRUE	-	FALSE	0	PEBP1	213131
chr12	121636721	-	hg38	1	pin25	xxx	GTSP4703	PBMC	W2	1	0.21978021978021978	ORAI1	TRUE	+	FALSE	-0	KDM2B	-55705
chr12	14257563	-	hg38	530	pin25	xxx	GTSP4703	PBMC	W2	1	0.21978021978021978	ATF7IP	FALSE	+	FALSE	-108067	ATF7IP	-108067
chr12	14384362	-	hg38	211	pin25	xxx	GTSP4703	PBMC	W2	1	0.21978021978021978	ATF7IP	TRUE	+	FALSE	0	ATF7IP	0
chr12	15561876	-	hg38	35	pin25	xxx	GTSP4703	PBMC	W2	1	0.21978021978021978	PTPRO	TRUE	+	FALSE	-0	EPS8	58263
chr12	50212174	-	hg38	698	pin25	xxx	GTSP4703	PBMC	W2	1	0.21978021978021978	LIMA1	TRUE	-	FALSE	-0	FMNL3	-504759
chr12	56102849	-	hg38	8	pin25	xxx	GTSP4703	PBMC	W2	1	0.21978021978021978	ERBB3	TRUE	+	TRUE	-0	ERBB3	-0
chr12	7188823	-	hg38	4	pin25	xxx	GTSP4703	PBMC	W2	1	0.21978021978021978	PEX5	TRUE	+	FALSE	0	PTPN6	227506
chr12	728571	-	hg38	852	pin25	xxx	GTSP4703	PBMC	W2	1	0.21978021978021978	WNK1	FALSE	+	FALSE	-24350	RAD52	183163
chr12	92989098	-	hg38	724	pin25	xxx	GTSP4703	PBMC	W2	1	0.21978021978021978	LOC643339	FALSE	-	FALSE	14658	SOCS2	-580722
chr12	101796428	+	hg38	858	pin25	xxx	GTSP4703	PBMC	W2	1	0.21978021978021978	GNPTAB	TRUE	-	FALSE	0	DRAM1	-80897
chr12	10382794	+	hg38	327	pin25	xxx	GTSP4703	PBMC	W2	1	0.21978021978021978	LOC101928100,KLRK1,KLRC4-KLRK1	TRUE	+,-,-	FALSE	-0	KLRK1	0
chr12	104568935	+	hg38	8	pin25	xxx	GTSP4703	PBMC	W2	1	0.21978021978021978	CHST11	TRUE	+	FALSE	0	HSP90B1	621004
chr12	113141659	+	hg38	2	pin25	xxx	GTSP4703	PBMC	W2	1	0.21978021978021978	RASAL1	FALSE	-	FALSE	-5419	PTPN11	631740
chr12	116171635	+	hg38	1314	pin25	xxx	GTSP4703	PBMC	W2	1	0.21978021978021978	MED13L	TRUE	-	FALSE	0	PEBP1	-1964247
chr12	14959447	+	hg38	578	pin25	xxx	GTSP4703	PBMC	W2	1	0.21978021978021978	ARHGDIB	TRUE	-	FALSE	0	ATF7IP	456511
chr12	15564080	+	hg38	49	pin25	xxx	GTSP4703	PBMC	W2	1	0.21978021978021978	PTPRO	TRUE	+	FALSE	-0	EPS8	56059
chr12	4155812	+	hg38	1610	pin25	xxx	GTSP4703	PBMC	W2	1	0.21978021978021978	CCND2-AS1	FALSE	-	FALSE	92953	CCND2-AS1	92953
chr12	44839969	+	hg38	633	pin25	xxx	GTSP4703	PBMC	W2	1	0.21978021978021978	NELL2	TRUE	-	FALSE	0	ARID2	-889738
chr12	47272718	+	hg38	896	pin25	xxx	GTSP4703	PBMC	W2	1	0.21978021978021978	LOC105369747	FALSE	-	FALSE	33197	PCED1B	36054
chr12	53218135	+	hg38	449	pin25	xxx	GTSP4703	PBMC	W2	1	0.21978021978021978	RARG	TRUE	-	FALSE	-0	RARG	-0
chr12	53674178	+	hg38	465	pin25	xxx	GTSP4703	PBMC	W2	1	0.21978021978021978	ATP5MC2	TRUE	-	TRUE	0	HOXC13	-264612
chr12	7960292	+	hg38	128	pin25	xxx	GTSP4703	PBMC	W2	1	0.21978021978021978	SLC2A3	FALSE	-	FALSE	-23995	C3AR1	96550
chr12	89225292	+	hg38	838	pin25	xxx	GTSP4703	PBMC	W2	1	0.21978021978021978	DUSP6	FALSE	-	FALSE	122531	KITLG	-644818
chr13	111179068	-	hg38	2125	pin25	xxx	GTSP4703	PBMC	W2	1	0.21978021978021978	ARHGEF7	TRUE	+	FALSE	0	GAS6	2641479
chr13	31046268	-	hg38	1263	pin25	xxx	GTSP4703	PBMC	W2	1	0.21978021978021978	TEX26	FALSE	+	FALSE	70765	HSPH1	88704
chr13	33541612	-	hg38	557	pin25	xxx	GTSP4703	PBMC	W2	1	0.21978021978021978	STARD13	TRUE	-	FALSE	0	STARD13	0
chr13	50894150	-	hg38	28	pin25	xxx	GTSP4703	PBMC	W2	1	0.21978021978021978	RNASEH2B-AS1	TRUE	-	FALSE	-0	DLEU1	365506
chr13	51561996	-	hg38	64	pin25	xxx	GTSP4703	PBMC	W2	1	0.21978021978021978	MIR4703	FALSE	+	FALSE	9328	INTS6	-108856
chr13	95263205	-	hg38	977	pin25	xxx	GTSP4703	PBMC	W2	1	0.21978021978021978	ABCC4	TRUE	-	FALSE	0	RAP2A	-2171014
chr13	99371500	-	hg38	1230	pin25	xxx	GTSP4703	PBMC	W2	1	0.21978021978021978	UBAC2	TRUE	+	FALSE	-0	RAP2A	1903501
chr13	20388409	+	hg38	421	pin25	xxx	GTSP4703	PBMC	W2	1	0.21978021978021978	CRYL1	FALSE	-	FALSE	15256	ZMYM2	296563
chr13	95045635	+	hg38	4	pin25	xxx	GTSP4703	PBMC	W2	1	0.21978021978021978	ABCC4	TRUE	-	FALSE	-0	GPC5	2178397
chr14	23606803	-	hg38	645	pin25	xxx	GTSP4703	PBMC	W2	1	0.21978021978021978	DHRS2	FALSE	+	FALSE	-23310	BCL2L2	295043
chr14	23610475	-	hg38	396	pin25	xxx	GTSP4703	PBMC	W2	1	0.21978021978021978	DHRS2	FALSE	+	FALSE	-19638	BCL2L2	298715
