seqnames,start,end,width,strand,dataSource,GTSP,patient,reads,refGenome,sampleName,timePoint,timePointDays,timePointMonths,posid,inFeature,nearestFeature,nearestFeatureStrand,inFeatureExon,inFeatureSameOrt,nearestFeatureDist,nearestOncoFeature,nearestOncoFeatureDist,nearestOncoFeatureStrand,nearestlymphomaFeature,nearestlymphomaFeatureDist,nearestlymphomaFeatureStrand,cellType
chr16,2665026,2665096,71,+,454,LS-6,pin25,1,hg38,LS-6-0,D-1,-1,-0,chr16+2665026,TRUE,ERVK13-1,-,FALSE,FALSE,-0,CCNF,206167,+,None.found,Inf,None.found,TCELL
chr6,2859759,2859790,32,-,454,LS-6,pin25,1,hg38,LS-6-0,D-1,-1,-0,chr6-2859790,TRUE,SERPINB9P1,-,FALSE,TRUE,-0,SERPINB1,-17740,-,BRD2,-30108868,+,TCELL
chr20,2871547,2871891,345,+,454,LS-6,pin25,1,hg38,LS-6-0,D-1,-1,-0,chr20+2871547,TRUE,PTPRA,+,FALSE,TRUE,0,CDC25B,-915223,+,None.found,Inf,None.found,TCELL
chr7,2955984,2956190,207,+,454,LS-6,pin25,3,hg38,LS-6-0,D-1,-1,-0,chr7+2955984,TRUE,CARD11,-,FALSE,FALSE,-0,CARD11,-0,-,None.found,Inf,None.found,TCELL
chr18,2972869,2972953,85,+,454,LS-6,pin25,1,hg38,LS-6-0,D-1,-1,-0,chr18+2972869,TRUE,LPIN2,-,FALSE,FALSE,0,DLGAP1,523161,-,BCL2,60150475,-,TCELL
chr18,2984753,2984893,141,-,454,LS-6,pin25,2,hg38,LS-6-0,D-1,-1,-0,chr18-2984893,TRUE,LPIN2,-,FALSE,TRUE,0,DLGAP1,511137,-,BCL2,60138451,-,TCELL
chr6,3075653,3075732,80,-,454,LS-6,pin25,3,hg38,LS-6-0,D-1,-1,-0,chr6-3075732,TRUE,RIPK1,+,FALSE,FALSE,0,SLC22A23,193239,-,BRD2,-29892926,+,TCELL
chr16,3077785,3077902,118,-,454,LS-6,pin25,5,hg38,LS-6-0,D-1,-1,-0,chr16-3077902,FALSE,IL32,+,FALSE,FALSE,8082,TRAP1,580133,-,None.found,Inf,None.found,TCELL
chr10,3094801,3095003,203,-,454,LS-6,pin25,4,hg38,LS-6-0,D-1,-1,-0,chr10-3095003,TRUE,PFKP,+,FALSE,FALSE,0,KLF6,680991,-,KLF6,680991,-,TCELL
chr16,3124967,3125129,163,+,454,LS-6,pin25,11,hg38,LS-6-0,D-1,-1,-0,chr16+3124967,FALSE,ZNF213-AS1,-,FALSE,FALSE,560,TRAP1,533068,-,None.found,Inf,None.found,TCELL
chr16,3265382,3265581,200,-,454,LS-6,pin25,3,hg38,LS-6-0,D-1,-1,-0,chr16-3265581,TRUE,LINC00921,+,TRUE,FALSE,0,TRAP1,392454,-,None.found,Inf,None.found,TCELL
chr9,3527670,3527818,149,-,454,LS-6,pin25,1,hg38,LS-6-0,D-1,-1,-0,chr9-3527818,FALSE,RFX3,-,FALSE,TRUE,-1816,JAK2,-1457266,+,JAK2,-1457266,+,TCELL
chr20,3550776,3551246,471,-,454,LS-6,pin25,1,hg38,LS-6-0,D-1,-1,-0,chr20-3551246,TRUE,ATRN,+,FALSE,FALSE,0,CDC25B,-235524,+,None.found,Inf,None.found,TCELL
chr18,3603108,3603363,256,+,454,LS-6,pin25,3,hg38,LS-6-0,D-1,-1,-0,chr18+3603108,TRUE,DLGAP1,-,FALSE,FALSE,-0,DLGAP1,-0,-,BCL2,59520236,-,TCELL
chr18,3603775,3603908,134,+,454,LS-6,pin25,7,hg38,LS-6-0,D-1,-1,-0,chr18+3603775,TRUE,"DLGAP1,DLGAP1-AS2","-,+",TRUE,FALSE,-0,DLGAP1,-0,-,BCL2,59519569,-,TCELL
chr18,3607305,3607484,180,+,454,LS-6,pin25,4,hg38,LS-6-0,D-1,-1,-0,chr18+3607305,TRUE,"DLGAP1,DLGAP1-AS2","-,+",FALSE,FALSE,-0,DLGAP1,-0,-,BCL2,59516039,-,TCELL
chr16,3639002,3639090,89,-,454,LS-6,pin25,2,hg38,LS-6-0,D-1,-1,-0,chr16-3639090,FALSE,DNASE1,+,FALSE,FALSE,-13847,TRAP1,18945,-,None.found,Inf,None.found,TCELL
chr7,3670214,3670284,71,+,454,LS-6,pin25,2,hg38,LS-6-0,D-1,-1,-0,chr7+3670214,TRUE,SDK1,+,FALSE,TRUE,0,CARD11,-626268,-,None.found,Inf,None.found,TCELL
chr17,3764570,3764758,189,+,454,LS-6,pin25,4,hg38,LS-6-0,D-1,-1,-0,chr17+3764570,TRUE,ITGAE,-,FALSE,FALSE,0,TRPV1,-155158,-,None.found,Inf,None.found,TCELL
chr10,3809526,3809696,171,+,454,LS-6,pin25,4,hg38,LS-6-0,D-1,-1,-0,chr10+3809526,FALSE,KLF6,-,FALSE,FALSE,-24244,KLF6,-24244,-,KLF6,-24244,-,TCELL
chrX,3815371,3815445,75,-,454,LS-6,pin25,1,hg38,LS-6-0,D-1,-1,-0,chrX-3815445,FALSE,LOC389906,-,FALSE,TRUE,2088,P2RY8,-2278300,-,MTCP1,151248587,-,TCELL
chr10,3829419,3829720,302,-,454,LS-6,pin25,1,hg38,LS-6-0,D-1,-1,-0,chr10-3829720,FALSE,LOC105376365,+,FALSE,FALSE,-4228,KLF6,-44438,-,KLF6,-44438,-,TCELL
chr12,3981374,3981479,106,-,454,LS-6,pin25,5,hg38,LS-6-0,D-1,-1,-0,chr12-3981479,FALSE,PARP11,-,FALSE,TRUE,-108030,CCND2-AS1,267286,-,CCND2,-292255,+,TCELL
chr16,4080958,4081033,76,-,454,LS-6,pin25,4,hg38,LS-6-0,D-1,-1,-0,chr16-4081033,TRUE,ADCY9,-,FALSE,TRUE,0,TFAP4,176151,-,None.found,Inf,None.found,TCELL
chr12,4118141,4118247,107,+,454,LS-6,pin25,2,hg38,LS-6-0,D-1,-1,-0,chr12+4118141,FALSE,CCND2-AS1,-,FALSE,FALSE,130624,CCND2-AS1,130624,-,CCND2,-155593,+,TCELL
chr12,4118426,4118879,454,-,454,LS-6,pin25,3,hg38,LS-6-0,D-1,-1,-0,chr12-4118879,FALSE,CCND2-AS1,-,FALSE,TRUE,129886,CCND2-AS1,129886,-,CCND2,-154855,+,TCELL
chr12,4154276,4154509,234,-,454,LS-6,pin25,6,hg38,LS-6-0,D-1,-1,-0,chr12-4154509,FALSE,CCND2-AS1,-,FALSE,TRUE,94256,CCND2-AS1,94256,-,CCND2,-119225,+,TCELL
chr19,4301806,4302157,352,-,454,LS-6,pin25,3,hg38,LS-6-0,D-1,-1,-0,chr19-4302157,TRUE,TMIGD2,-,FALSE,TRUE,0,SH3GL1,58208,-,TCF3,-2649827,-,TCELL
chr4,4440071,4440205,135,-,454,LS-6,pin25,1,hg38,LS-6-0,D-1,-1,-0,chr4-4440205,TRUE,STX18,-,FALSE,TRUE,-0,JAKMIP1,1585992,-,RAP1GDS1,-93821169,+,TCELL
chr6,4668350,4668393,44,+,454,LS-6,pin25,2,hg38,LS-6-0,D-1,-1,-0,chr6+4668350,FALSE,CDYL,+,FALSE,TRUE,-37807,PRPF4B,603366,+,BRD2,-28300308,+,TCELL
chr17,4711096,4711410,315,+,454,LS-6,pin25,3,hg38,LS-6-0,D-1,-1,-0,chr17+4711096,TRUE,ARRB2,+,FALSE,TRUE,0,ALOX15,-69422,-,None.found,Inf,None.found,TCELL
chr20,4815605,4815981,377,+,454,LS-6,pin25,3,hg38,LS-6-0,D-1,-1,-0,chr20+4815605,TRUE,RASSF2,-,FALSE,FALSE,0,RASSF2,0,-,None.found,Inf,None.found,TCELL
chr3,4826204,4826535,332,-,454,LS-6,pin25,9,hg38,LS-6-0,D-1,-1,-0,chr3-4826535,TRUE,ITPR1,+,FALSE,FALSE,-0,CNTN4,1768573,+,None.found,Inf,None.found,TCELL
chr3,4867491,4867742,252,-,454,LS-6,pin25,1,hg38,LS-6-0,D-1,-1,-0,chr3-4867742,FALSE,ITPR1,+,FALSE,FALSE,19901,CNTN4,1809780,+,None.found,Inf,None.found,TCELL
chr3,4889000,4889085,86,+,454,LS-6,pin25,2,hg38,LS-6-0,D-1,-1,-0,chr3+4889000,FALSE,BHLHE40-AS1,-,FALSE,FALSE,7807,CNTN4,1831038,+,None.found,Inf,None.found,TCELL
chr9,4953250,4953451,202,-,454,LS-6,pin25,6,hg38,LS-6-0,D-1,-1,-0,chr9-4953451,FALSE,JAK2,+,FALSE,FALSE,-31633,JAK2,-31633,+,JAK2,-31633,+,TCELL
chr3,5020741,5021056,316,-,454,LS-6,pin25,3,hg38,LS-6-0,D-1,-1,-0,chr3-5021056,FALSE,BHLHE40,+,FALSE,FALSE,35874,CNTN4,1963094,+,None.found,Inf,None.found,TCELL
chr16,5071118,5071184,67,+,454,LS-6,pin25,1,hg38,LS-6-0,D-1,-1,-0,chr16+5071118,FALSE,ALG1,+,FALSE,TRUE,-689,TFAP4,-798117,-,None.found,Inf,None.found,TCELL
chr10,5293498,5293580,83,+,454,LS-6,pin25,1,hg38,LS-6-0,D-1,-1,-0,chr10+5293498,FALSE,LINC02561,-,FALSE,FALSE,-22261,NET1,-119051,+,KLF6,-1508216,-,TCELL
chr20,5593629,5593795,167,+,454,LS-6,pin25,1,hg38,LS-6-0,D-1,-1,-0,chr20+5593629,TRUE,GPCPD1,-,FALSE,FALSE,0,PCNA,-467006,-,None.found,Inf,None.found,TCELL
chr20,5609091,5609292,202,+,454,LS-6,pin25,1,hg38,LS-6-0,D-1,-1,-0,chr20+5609091,TRUE,GPCPD1,-,FALSE,FALSE,0,PCNA,-482468,-,None.found,Inf,None.found,TCELL
chr20,5644913,5645000,88,+,454,LS-6,pin25,3,hg38,LS-6-0,D-1,-1,-0,chr20+5644913,FALSE,GPCPD1,-,FALSE,FALSE,-33886,PCNA,-518290,-,None.found,Inf,None.found,TCELL
chr9,5847232,5847407,176,+,454,LS-6,pin25,9,hg38,LS-6-0,D-1,-1,-0,chr9+5847232,FALSE,ERMP1,-,FALSE,FALSE,-14150,PDCD1LG2,275949,+,JAK2,719048,+,TCELL
chr7,6060258,6060352,95,-,454,LS-6,pin25,3,hg38,LS-6-0,D-1,-1,-0,chr7-6060352,FALSE,EIF2AK1,-,FALSE,TRUE,-1122,PMS2,-51245,-,None.found,Inf,None.found,TCELL
chr10,6069620,6069849,230,-,454,LS-6,pin25,4,hg38,LS-6-0,D-1,-1,-0,chr10-6069849,FALSE,IL2RA,-,FALSE,TRUE,-7478,IL2RA,-7478,-,KLF6,-2284567,-,TCELL
chr10,6073514,6073575,62,-,454,LS-6,pin25,1,hg38,LS-6-0,D-1,-1,-0,chr10-6073575,FALSE,IL2RA,-,FALSE,TRUE,-11204,IL2RA,-11204,-,KLF6,-2288293,-,TCELL
chr11,6323353,6323432,80,+,454,LS-6,pin25,4,hg38,LS-6-0,D-1,-1,-0,chr11+6323353,FALSE,CAVIN3,-,FALSE,FALSE,-2842,EIF3F,-1663965,+,LMO1,1900949,-,TCELL
chr10,6502445,6502557,113,+,454,LS-6,pin25,8,hg38,LS-6-0,D-1,-1,-0,chr10+6502445,TRUE,PRKCQ,-,FALSE,FALSE,0,IL2RA,-440074,-,KLF6,-2717163,-,TCELL
chr10,6580761,6580976,216,-,454,LS-6,pin25,3,hg38,LS-6-0,D-1,-1,-0,chr10-6580976,TRUE,PRKCQ-AS1,+,FALSE,FALSE,0,IL2RA,-518605,-,KLF6,-2795694,-,TCELL
chr1,6603560,6603915,356,-,454,LS-6,pin25,2,hg38,LS-6-0,D-1,-1,-0,chr1-6603915,FALSE,KLHL21,-,FALSE,TRUE,-1016,ZBTB48,14634,+,LCK,-25647322,+,TCELL
chr6,6652315,6652646,332,-,454,LS-6,pin25,1,hg38,LS-6-0,D-1,-1,-0,chr6-6652646,TRUE,LY86,+,FALSE,FALSE,-0,RREB1,-454949,+,BRD2,-26316012,+,TCELL
chr6,6656342,6656435,94,+,454,LS-6,pin25,2,hg38,LS-6-0,D-1,-1,-0,chr6+6656342,FALSE,LY86,+,FALSE,TRUE,1358,RREB1,-451253,+,BRD2,-26312316,+,TCELL
chr19,6736863,6737081,219,+,454,LS-6,pin25,4,hg38,LS-6-0,D-1,-1,-0,chr19+6736863,TRUE,GPR108,-,FALSE,FALSE,0,VAV1,-35803,+,TCF3,-5084533,-,TCELL
chr12,6779892,6780338,447,-,454,LS-6,pin25,4,hg38,LS-6-0,D-1,-1,-0,chr12-6780338,FALSE,LAG3,+,FALSE,FALSE,1882,ZNF384,-90765,-,CCND2,2474981,+,TCELL
chr1,6784004,6784093,90,-,454,LS-6,pin25,2,hg38,LS-6-0,D-1,-1,-0,chr1-6784093,TRUE,CAMTA1-DT,-,FALSE,TRUE,-0,CAMTA1,-1229,+,LCK,-25467144,+,TCELL
chr4,6897959,6898184,226,+,454,LS-6,pin25,3,hg38,LS-6-0,D-1,-1,-0,chr4+6897959,FALSE,TBC1D14,+,FALSE,TRUE,-11483,S100P,200788,+,RAP1GDS1,-91363415,+,TCELL
chr4,6898894,6899197,304,+,454,LS-6,pin25,4,hg38,LS-6-0,D-1,-1,-0,chr4+6898894,FALSE,TBC1D14,+,FALSE,TRUE,-10548,S100P,201723,+,RAP1GDS1,-91362480,+,TCELL
chr12,6953310,6953491,182,+,454,LS-6,pin25,7,hg38,LS-6-0,D-1,-1,-0,chr12+6953310,TRUE,PTPN6,+,FALSE,TRUE,0,PTPN6,0,+,CCND2,2647953,+,TCELL
chr10,7106837,7107041,205,-,454,LS-6,pin25,2,hg38,LS-6-0,D-1,-1,-0,chr10-7107041,FALSE,SFMBT2,-,FALSE,TRUE,51581,SFMBT2,51581,-,KLF6,-3321759,-,TCELL
chr10,7399564,7399642,79,-,454,LS-6,pin25,1,hg38,LS-6-0,D-1,-1,-0,chr10-7399642,TRUE,SFMBT2,-,FALSE,TRUE,0,SFMBT2,0,-,KLF6,-3614360,-,TCELL
chr2,7468501,7468563,63,-,454,LS-6,pin25,1,hg38,LS-6-0,D-1,-1,-0,chr2-7468563,FALSE,LOC100506274,+,FALSE,FALSE,18308,ID2,-1213418,+,BCL11A,52982602,-,TCELL
chr9,7535882,7535994,113,+,454,LS-6,pin25,3,hg38,LS-6-0,D-1,-1,-0,chr9+7535882,FALSE,DMAC1,-,FALSE,FALSE,260606,KDM4C,360233,+,JAK2,2407698,+,TCELL
chr2,7570908,7570974,67,+,454,LS-6,pin25,1,hg38,LS-6-0,D-1,-1,-0,chr2+7570908,FALSE,LOC100506274,+,FALSE,TRUE,120653,ID2,-1111073,+,BCL11A,52880257,-,TCELL
chr7,7639703,7639842,140,+,454,LS-6,pin25,4,hg38,LS-6-0,D-1,-1,-0,chr7+7639703,TRUE,RPA3,-,FALSE,FALSE,-0,COL28A1,-103873,-,None.found,Inf,None.found,TCELL
chr6,7746131,7746459,329,+,454,LS-6,pin25,6,hg38,LS-6-0,D-1,-1,-0,chr6+7746131,TRUE,BMP6,+,FALSE,TRUE,0,CAGE1,-356421,-,BRD2,-25222527,+,TCELL
chr9,7976125,7976381,257,+,454,LS-6,pin25,4,hg38,LS-6-0,D-1,-1,-0,chr9+7976125,FALSE,DMAC1,-,FALSE,FALSE,-176318,PTPRD,338119,-,JAK2,2847941,+,TCELL
chr7,8126739,8126940,202,+,454,LS-6,pin25,4,hg38,LS-6-0,D-1,-1,-0,chr7+8126739,TRUE,ICA1,-,FALSE,FALSE,-0,COL28A1,-590909,-,None.found,Inf,None.found,TCELL
chr7,8131675,8131767,93,-,454,LS-6,pin25,1,hg38,LS-6-0,D-1,-1,-0,chr7-8131767,TRUE,ICA1,-,FALSE,TRUE,-0,COL28A1,-595937,-,None.found,Inf,None.found,TCELL
chr10,8132572,8132669,98,-,454,LS-6,pin25,10,hg38,LS-6-0,D-1,-1,-0,chr10-8132669,FALSE,GATA3,+,FALSE,FALSE,57467,GATA3,57467,+,KLF6,-4347387,-,TCELL
chr7,8175849,8176036,188,-,454,LS-6,pin25,6,hg38,LS-6-0,D-1,-1,-0,chr7-8176036,TRUE,ICA1,-,FALSE,TRUE,-0,COL28A1,-640206,-,None.found,Inf,None.found,TCELL
chr19,8193219,8193359,141,-,454,LS-6,pin25,2,hg38,LS-6-0,D-1,-1,-0,chr19-8193359,FALSE,CERS4,+,FALSE,FALSE,-15972,ELAVL1,-187713,-,LYL1,4905667,-,TCELL
chr20,8213656,8213716,61,-,454,LS-6,pin25,1,hg38,LS-6-0,D-1,-1,-0,chr20-8213716,TRUE,PLCB1,+,FALSE,FALSE,0,PLCB1,0,+,None.found,Inf,None.found,TCELL
chr8,8287087,8287296,210,-,454,LS-6,pin25,8,hg38,LS-6-0,D-1,-1,-0,chr8-8287296,FALSE,PRAG1,-,FALSE,TRUE,30438,MFHAS1,497191,-,MYC,-119448136,+,TCELL
chr8,8381215,8381511,297,-,454,LS-6,pin25,2,hg38,LS-6-0,D-1,-1,-0,chr8-8381511,TRUE,PRAG1,-,TRUE,TRUE,0,MFHAS1,402976,-,MYC,-119353921,+,TCELL
chr4,8414765,8415218,454,+,454,LS-6,pin25,1,hg38,LS-6-0,D-1,-1,-0,chr4+8414765,TRUE,ACOX3,-,FALSE,FALSE,0,S100P,1717594,+,RAP1GDS1,-89846609,+,TCELL
chr10,8417312,8417446,135,+,454,LS-6,pin25,6,hg38,LS-6-0,D-1,-1,-0,chr10+8417312,FALSE,LINC00708,-,FALSE,FALSE,-149006,GATA3,342110,+,KLF6,-4632030,-,TCELL
chr20,8456225,8456335,111,+,454,LS-6,pin25,3,hg38,LS-6-0,D-1,-1,-0,chr20+8456225,TRUE,PLCB1,+,FALSE,TRUE,0,PLCB1,0,+,None.found,Inf,None.found,TCELL
chr2,8487986,8488174,189,-,454,LS-6,pin25,8,hg38,LS-6-0,D-1,-1,-0,chr2-8488174,FALSE,LINC01814,-,FALSE,TRUE,71657,ID2,-193807,+,BCL11A,51962991,-,TCELL
chr2,8582182,8582391,210,+,454,LS-6,pin25,4,hg38,LS-6-0,D-1,-1,-0,chr2+8582182,TRUE,LINC01814,-,FALSE,FALSE,0,ID2,-99799,+,BCL11A,51868983,-,TCELL
chr11,8681981,8682103,123,+,454,LS-6,pin25,2,hg38,LS-6-0,D-1,-1,-0,chr11+8681981,FALSE,RPL27A,+,FALSE,TRUE,-465,ST5,11369,-,LMO1,-413345,-,TCELL
chr11,8683454,8683931,478,+,454,LS-6,pin25,1,hg38,LS-6-0,D-1,-1,-0,chr11+8683454,TRUE,RPL27A,+,FALSE,TRUE,0,ST5,9896,-,LMO1,-414818,-,TCELL
chr10,8727589,8727697,109,+,454,LS-6,pin25,3,hg38,LS-6-0,D-1,-1,-0,chr10+8727589,FALSE,LOC105376398,-,FALSE,FALSE,-133197,GATA3,652387,+,KLF6,-4942307,-,TCELL
chr17,8859279,8859711,433,+,454,LS-6,pin25,1,hg38,LS-6-0,D-1,-1,-0,chr17+8859279,TRUE,PIK3R6,-,FALSE,FALSE,0,PIK3R5,19635,-,None.found,Inf,None.found,TCELL
chr8,8871870,8872060,191,-,454,LS-6,pin25,1,hg38,LS-6-0,D-1,-1,-0,chr8-8872060,TRUE,MFHAS1,-,FALSE,TRUE,0,MFHAS1,0,-,MYC,-118863372,+,TCELL
chr17,8919487,8919558,72,-,454,LS-6,pin25,3,hg38,LS-6-0,D-1,-1,-0,chr17-8919558,TRUE,PIK3R5,-,FALSE,TRUE,-0,PIK3R5,-0,-,None.found,Inf,None.found,TCELL
chr17,8935927,8936108,182,+,454,LS-6,pin25,2,hg38,LS-6-0,D-1,-1,-0,chr17+8935927,TRUE,PIK3R5,-,FALSE,FALSE,0,PIK3R5,0,-,None.found,Inf,None.found,TCELL
chr11,9002412,9002588,177,+,454,LS-6,pin25,1,hg38,LS-6-0,D-1,-1,-0,chr11+9002412,TRUE,NRIP3,-,FALSE,FALSE,0,ST5,-91460,-,LMO1,-733776,-,TCELL
chrX,9159094,9159148,55,-,454,LS-6,pin25,1,hg38,LS-6-0,D-1,-1,-0,chrX-9159148,FALSE,FAM9B,-,FALSE,TRUE,-125020,MID1,1286160,-,MTCP1,145904884,-,TCELL
chr12,9245938,9246034,97,+,454,LS-6,pin25,4,hg38,LS-6-0,D-1,-1,-0,chr12+9245938,TRUE,LINC00987,+,FALSE,TRUE,0,CD69,506546,-,ETV6,-2403914,+,TCELL
chr17,9289370,9289520,151,-,454,LS-6,pin25,2,hg38,LS-6-0,D-1,-1,-0,chr17-9289520,TRUE,STX8,-,FALSE,TRUE,-0,PIK3R5,-323807,-,None.found,Inf,None.found,TCELL
chr1,9716059,9716458,400,-,454,LS-6,pin25,1,hg38,LS-6-0,D-1,-1,-0,chr1-9716458,TRUE,PIK3CD,+,TRUE,FALSE,-0,PIK3CD,-0,+,LCK,-22534779,+,TCELL
chr11,9756719,9756900,182,-,454,LS-6,pin25,3,hg38,LS-6-0,D-1,-1,-0,chr11-9756900,TRUE,LOC440028,-,FALSE,TRUE,-0,SWAP70,3908,+,LMO1,-1488264,-,TCELL
chr3,9791881,9792223,343,-,454,LS-6,pin25,29,hg38,LS-6-0,D-1,-1,-0,chr3-9792223,TRUE,TADA3,-,TRUE,TRUE,0,TTLL3,-17735,+,None.found,Inf,None.found,TCELL
chr2,9843898,9844304,407,-,454,LS-6,pin25,3,hg38,LS-6-0,D-1,-1,-0,chr2-9844304,TRUE,TAF1B,+,FALSE,FALSE,0,ID2,1159850,+,BCL11A,50606861,-,TCELL
chr12,9869763,9870042,280,-,454,LS-6,pin25,1,hg38,LS-6-0,D-1,-1,-0,chr12-9870042,FALSE,CLEC2B,-,FALSE,TRUE,-182,CD69,-109140,-,ETV6,-1779810,+,TCELL
chr8,9907794,9907964,171,+,454,LS-6,pin25,4,hg38,LS-6-0,D-1,-1,-0,chr8+9907794,FALSE,MIR124-1,-,FALSE,FALSE,-4321,MFHAS1,-1014172,-,MYC,-117827638,+,TCELL
chrX,9935855,9935955,101,+,454,LS-6,pin25,34,hg38,LS-6-0,D-1,-1,-0,chrX+9935855,TRUE,SHROOM2,+,FALSE,TRUE,-0,MID1,509453,-,MTCP1,145128177,-,TCELL
