posid,PBMC/D1,PBMC/W2,PBMC/W8,PBMC/Y15,PBMC/Y4,PBMC/Y8,TCELL/D-1,TCELL/Y8,patient
chr1-67431313,0,0,1,0,0,0,0,0,pin25
chr1-6784093,0,0,0,0,0,0,1,0,pin25
chr1-68642555,0,0,0,0,0,0,1,0,pin25
chr1-70204593,0,0,0,0,0,0,1,0,pin25
chr1-70352674,0,0,0,0,0,0,1,0,pin25
chr1-71314699,0,0,0,0,0,0,1,0,pin25
chr1-77682905,0,1,0,0,0,0,0,0,pin25
chr1-77778638,0,0,0,0,0,0,1,0,pin25
chr1-7941331,0,1,0,0,0,0,0,0,pin25
chr1-87042723,0,0,1,0,0,0,0,0,pin25
chr1-8819129,0,0,1,0,0,0,0,0,pin25
chr1-89723221,0,0,0,0,0,0,1,0,pin25
chr1-89820509,0,0,0,0,0,0,1,0,pin25
chr1-91673943,0,0,0,0,0,0,1,0,pin25
chr1-92578829,0,0,0,0,0,0,1,0,pin25
chr1-92980258,0,0,0,0,0,0,1,0,pin25
chr1-95026839,0,0,1,0,0,0,0,0,pin25
chr1-9716458,0,0,0,0,0,0,1,0,pin25
chr1-9718289,1,0,0,0,0,0,0,0,pin25
chr1-98871399,0,0,0,0,0,0,1,0,pin25
chr1-99969795,0,0,0,0,0,0,1,0,pin25
chr1-99970981,0,0,0,0,0,0,1,0,pin25
chr1+100166087,0,1,0,0,0,0,0,0,pin25
chr1+101146964,0,0,0,0,0,0,1,0,pin25
chr1+101234916,0,0,0,0,0,0,1,0,pin25
chr1+109820750,0,0,0,0,0,0,1,0,pin25
chr1+109909105,0,0,0,0,0,0,1,0,pin25
chr1+111516003,0,0,0,0,0,0,1,0,pin25
chr1+111516171,0,0,0,0,0,0,1,0,pin25
chr1+113870104,0,0,0,1,0,0,0,0,pin25
chr1+113872474,0,0,0,0,0,0,1,0,pin25
chr1+116545463,0,0,1,0,0,0,0,0,pin25
chr1+116738389,0,0,0,0,0,0,1,0,pin25
chr1+116758919,0,0,0,0,0,0,1,0,pin25
chr1+116806718,0,0,0,0,0,0,1,0,pin25
chr1+1200461,0,0,0,0,0,0,1,0,pin25
chr1+12440431,0,1,0,0,0,0,0,0,pin25
chr1+12452102,0,0,1,0,0,0,0,0,pin25
chr1+12468039,0,0,0,0,0,0,1,0,pin25
chr1+13671181,0,1,0,0,0,0,0,0,pin25
chr1+143799826,0,0,0,0,0,0,1,0,pin25
chr1+146380884,0,0,1,0,0,0,0,0,pin25
chr1+147108941,0,0,1,0,0,0,0,0,pin25
chr1+148710852,0,0,0,0,0,0,1,0,pin25
chr1+149588828,0,0,1,0,0,0,0,0,pin25
chr1+151165051,0,1,0,0,0,0,0,0,pin25
chr1+152048514,0,0,0,0,0,0,1,0,pin25
chr1+155307957,0,0,0,0,0,0,1,0,pin25
chr1+15547676,0,0,1,0,0,0,0,0,pin25
chr1+156153428,0,0,0,0,0,0,1,0,pin25
chr1+156218276,0,1,0,0,0,0,0,0,pin25
chr1+156222157,0,0,0,0,0,0,1,0,pin25
chr1+156504473,0,0,0,0,0,0,1,0,pin25
chr1+157147069,0,1,0,0,0,0,0,0,pin25
chr1+157725115,0,0,0,0,0,0,1,0,pin25
chr1+161200209,0,1,0,0,0,0,0,0,pin25
chr1+169585079,0,0,1,0,0,0,0,0,pin25
chr1+169697690,0,0,0,0,0,0,1,0,pin25
chr1+171780578,0,0,1,0,0,0,0,0,pin25
chr1+174968205,0,1,0,0,0,0,0,0,pin25
chr1+178566723,0,0,0,0,0,0,1,0,pin25
chr1+183958515,0,0,0,0,0,0,1,0,pin25
chr1+184870278,0,0,0,0,0,1,0,0,pin25
chr1+185372498,0,0,0,0,0,0,1,0,pin25
chr1+185680542,0,0,0,0,0,0,1,0,pin25
chr1+186741368,0,1,0,0,0,0,0,0,pin25
chr1+19487260,1,0,0,0,0,0,0,0,pin25
chr1+198174852,0,1,0,0,0,0,0,0,pin25
chr1+198259629,0,0,0,0,0,0,1,0,pin25
chr1+198615079,0,0,1,0,0,0,0,0,pin25
chr1+198672829,0,0,0,0,0,1,0,0,pin25
chr1+203290100,0,0,0,0,0,0,1,0,pin25
chr1+204101767,0,1,0,0,0,0,0,0,pin25
chr1+206554938,0,0,1,0,0,0,0,0,pin25
chr1+212030800,0,0,1,0,0,0,0,0,pin25
chr1+212683700,0,0,0,0,0,0,1,0,pin25
chr1+22040363,0,0,1,0,0,0,0,0,pin25
chr1+226003994,0,0,0,0,0,0,1,0,pin25
chr1+226740245,0,0,0,0,0,0,1,0,pin25
chr1+226937930,0,0,0,0,0,0,1,0,pin25
chr1+231273735,0,1,0,0,0,0,0,0,pin25
chr1+231339116,0,0,0,0,0,0,1,0,pin25
chr1+234871639,0,1,0,0,0,0,0,0,pin25
chr1+234972617,0,0,1,0,0,0,0,0,pin25
chr1+235882392,0,1,0,0,0,0,0,0,pin25
chr1+236798613,0,0,0,0,0,1,0,0,pin25
chr1+23826055,0,0,0,0,0,0,1,0,pin25
chr1+24991554,0,0,0,1,0,0,0,0,pin25
chr1+24992717,0,0,0,0,0,1,0,0,pin25
chr1+24993392,0,0,0,1,0,0,0,0,pin25
chr1+24995145,0,0,0,2,0,0,0,0,pin25
chr1+24997375,0,0,0,1,0,0,0,0,pin25
chr1+24998559,0,0,0,1,0,0,0,0,pin25
chr1+25001102,1,0,0,0,0,0,0,0,pin25
chr1+25005432,0,0,0,1,0,0,0,0,pin25
chr1+25005449,0,0,0,1,0,0,0,0,pin25
chr1+25007953,0,0,0,0,0,0,1,0,pin25
chr1+25023567,0,0,0,1,0,0,0,0,pin25
chr1+25027100,0,0,0,0,0,0,1,0,pin25
chr1+25027587,0,0,0,1,0,0,0,0,pin25
chr1+25029955,0,0,0,1,0,0,0,0,pin25
chr1+25640693,0,1,0,0,0,0,0,0,pin25
chr1+26288420,0,0,0,0,0,0,1,0,pin25
chr1+26581433,0,0,1,0,0,0,0,0,pin25
chr1+27915193,0,0,0,0,0,0,1,0,pin25
chr1+28643422,0,0,0,0,0,0,1,0,pin25
chr1+28927209,0,1,0,0,0,0,0,0,pin25
chr1+31925221,0,0,1,0,0,0,0,0,pin25
chr1+31926787,0,0,1,0,0,0,0,0,pin25
chr1+31959376,0,0,0,0,0,0,1,0,pin25
chr1+33036278,0,0,0,0,0,0,1,0,pin25
chr1+33126596,0,0,0,0,0,0,1,0,pin25
chr1+39164358,0,0,0,0,0,0,1,0,pin25
chr1+45338758,0,0,0,0,0,0,1,0,pin25
chr1+45685165,0,0,1,0,0,0,0,0,pin25
chr1+52638038,0,0,1,0,0,0,0,0,pin25
chr1+56763615,0,0,0,0,0,0,1,0,pin25
chr1+58942416,0,1,0,0,0,0,0,0,pin25
chr1+59474665,0,0,0,0,0,0,1,0,pin25
chr1+65798580,0,0,1,0,0,0,0,0,pin25
chr1+66182902,0,0,0,0,0,0,1,0,pin25
chr1+75236555,0,0,0,0,1,0,0,0,pin25
chr1+83489637,0,0,0,0,1,0,0,0,pin25
chr1+8939149,0,0,1,0,0,0,0,0,pin25
chr1+8944616,0,1,0,0,0,0,0,0,pin25
chr1+92991779,0,0,1,0,0,0,0,0,pin25
chr1+930731,0,0,0,0,1,1,0,0,pin25
chr1+98851374,0,0,0,0,0,0,1,0,pin25
chr10-100008329,0,0,0,0,0,0,1,0,pin25
chr10-100510092,0,0,0,0,0,0,1,0,pin25
chr10-100510854,0,0,1,0,0,0,0,0,pin25
chr10-103744241,0,0,0,0,0,0,1,0,pin25
chr10-103909044,0,0,0,0,0,0,1,0,pin25
chr10-1044761,0,0,0,0,0,0,1,0,pin25
chr10-109616087,0,0,1,0,0,0,0,0,pin25
chr10-112388924,0,0,0,0,0,0,1,0,pin25
chr10-112391029,0,0,0,0,0,0,1,0,pin25
chr10-114358242,0,0,0,0,0,0,1,0,pin25
chr10-114913826,0,0,0,0,0,0,1,0,pin25
chr10-114925300,0,0,0,0,0,0,1,0,pin25
chr10-119701586,0,0,0,0,0,0,1,0,pin25
chr10-119706551,0,0,0,0,0,0,1,0,pin25
chr10-12689349,0,0,0,0,1,0,0,0,pin25
chr10-12699139,0,0,0,0,0,0,1,0,pin25
chr10-133389543,0,0,0,0,0,0,1,0,pin25
chr10-15325020,0,1,0,0,0,0,0,0,pin25
chr10-15836545,0,0,0,0,0,0,1,0,pin25
chr10-17029830,0,0,0,0,0,0,1,0,pin25
chr10-17200192,0,1,0,0,0,0,0,0,pin25
chr10-17444924,0,0,0,1,0,0,0,0,pin25
chr10-22308270,0,0,0,1,0,0,0,0,pin25
chr10-22309370,0,0,0,1,0,0,0,0,pin25
chr10-22315917,0,0,0,2,0,0,0,0,pin25
chr10-24913110,0,0,0,1,0,0,0,0,pin25
chr10-26484620,0,0,0,0,0,0,1,0,pin25
chr10-30696669,0,0,0,0,0,0,1,0,pin25
chr10-30699581,1,0,0,0,0,0,0,0,pin25
chr10-3095003,0,0,0,0,0,0,1,0,pin25
chr10-32346874,0,0,0,0,0,0,1,0,pin25
chr10-3761428,4,0,0,0,0,0,0,0,pin25
chr10-3803706,0,1,0,0,0,0,0,0,pin25
chr10-3829720,0,0,0,0,0,0,1,0,pin25
chr10-42208423,0,0,0,0,0,1,0,0,pin25
chr10-43302428,0,0,0,0,0,0,1,0,pin25
chr10-45580809,0,0,0,0,0,0,1,0,pin25
chr10-46268283,0,1,0,0,0,0,0,0,pin25
chr10-47207790,0,1,0,0,0,0,0,0,pin25
chr10-5817587,0,0,0,0,0,0,0,1,pin25
chr10-6069849,0,0,0,0,0,0,1,0,pin25
chr10-6073575,0,0,0,0,0,0,1,0,pin25
chr10-6088114,0,0,1,0,0,0,0,0,pin25
chr10-61940555,0,1,0,0,0,0,0,0,pin25
chr10-62048424,0,0,0,0,0,0,1,0,pin25
chr10-62641036,0,0,0,0,0,0,1,0,pin25
chr10-63005292,0,1,0,0,0,0,0,0,pin25
chr10-6580976,0,0,0,0,0,0,1,0,pin25
chr10-69209035,0,0,0,0,0,0,1,0,pin25
chr10-69225002,0,0,0,0,0,0,1,0,pin25
chr10-7107041,0,0,0,0,0,0,1,0,pin25
chr10-71734120,0,0,1,0,0,0,0,0,pin25
chr10-72254497,0,0,0,0,0,0,1,0,pin25
chr10-73867108,0,0,0,0,0,0,1,0,pin25
chr10-7399642,0,0,0,0,0,0,1,0,pin25
chr10-74583886,0,0,0,0,0,0,1,0,pin25
chr10-74590657,0,1,0,0,0,0,0,0,pin25
chr10-78578274,0,0,0,0,1,0,0,0,pin25
chr10-78763191,0,0,0,0,0,0,1,0,pin25
chr10-8132669,0,0,0,0,0,0,1,0,pin25
chr10-8240593,0,0,2,0,0,0,0,0,pin25
chr10-84307459,0,1,0,0,0,0,0,0,pin25
chr10-84849926,0,0,0,0,0,0,1,0,pin25
chr10-88836183,0,0,0,0,0,0,1,0,pin25
chr10-91201835,0,0,0,0,0,0,1,0,pin25
chr10-91908196,0,0,0,1,0,0,0,0,pin25
chr10-95794821,0,0,0,0,0,0,1,0,pin25
chr10+100267316,0,0,0,0,0,0,1,0,pin25
chr10+100848489,0,0,0,0,0,0,1,0,pin25
chr10+101396795,0,0,0,1,0,0,0,0,pin25
chr10+103901613,0,0,1,0,0,0,0,0,pin25
chr10+110070760,0,0,0,0,0,0,1,0,pin25
chr10+110086829,0,0,0,1,0,0,0,0,pin25
chr10+110350158,0,0,0,0,0,0,1,0,pin25
chr10+110568398,0,0,0,0,0,0,1,0,pin25
chr10+11171525,0,0,0,1,0,0,0,0,pin25
chr10+11176383,0,1,0,0,0,0,0,0,pin25
chr10+112376067,0,0,0,0,0,0,1,0,pin25
chr10+112392008,0,0,0,0,0,0,1,0,pin25
chr10+114499233,0,0,0,0,0,1,0,0,pin25
chr10+118031421,0,0,0,0,0,0,1,0,pin25
chr10+121926602,0,1,0,0,0,0,0,0,pin25
chr10+123325553,0,0,0,0,0,0,1,0,pin25
chr10+124105164,0,0,0,0,0,0,1,0,pin25
chr10+12699195,0,0,0,0,0,0,1,0,pin25
chr10+12701643,0,0,0,0,0,0,1,0,pin25
chr10+129758098,0,0,0,0,0,0,1,0,pin25
chr10+13184319,0,0,0,0,0,0,1,0,pin25
chr10+17002852,0,0,2,0,0,0,0,0,pin25
chr10+17028958,0,0,0,0,0,0,1,0,pin25
chr10+22504426,0,0,0,0,0,0,1,0,pin25
chr10+24901884,0,0,0,0,0,0,1,0,pin25
chr10+24951828,0,0,0,0,0,0,1,0,pin25
chr10+26440313,0,0,0,0,0,0,1,0,pin25
chr10+26481363,0,0,0,0,0,0,1,0,pin25
chr10+30529171,0,0,1,0,0,0,0,0,pin25
chr10+30682234,0,0,1,0,0,0,0,0,pin25
chr10+30686320,0,0,0,0,0,0,1,0,pin25
chr10+30738838,0,0,0,0,0,0,1,0,pin25
chr10+31086863,0,0,0,0,0,0,1,0,pin25
chr10+31961420,0,0,0,0,0,0,1,0,pin25
chr10+32333670,0,0,0,0,0,0,1,0,pin25
chr10+33137191,0,0,1,0,0,0,0,0,pin25
chr10+3423667,0,1,0,0,0,0,0,0,pin25
chr10+35128075,0,0,2,0,0,0,0,0,pin25
chr10+35131707,0,0,1,0,0,0,0,0,pin25
chr10+35194730,0,0,0,0,0,1,0,0,pin25
chr10+38011293,0,0,0,0,0,0,1,0,pin25
chr10+3809526,0,0,0,0,0,0,1,0,pin25
chr10+49753756,0,0,0,0,0,0,1,0,pin25
chr10+50625410,0,0,0,0,0,0,1,0,pin25
chr10+51700733,0,0,1,0,0,0,0,0,pin25
chr10+5293498,0,0,0,0,0,0,1,0,pin25
chr10+54389684,0,0,1,0,0,0,0,0,pin25
chr10+62066684,0,0,0,0,0,0,1,0,pin25
chr10+62185221,0,0,0,0,0,0,1,0,pin25
chr10+62852732,0,0,0,0,0,1,0,0,pin25
chr10+6502445,0,0,0,0,0,0,1,0,pin25
chr10+66898357,0,0,1,0,0,0,0,0,pin25
chr10+67834267,0,0,4,0,0,0,0,0,pin25
chr10+68721416,0,0,0,0,0,1,0,0,pin25
chr10+69203244,0,0,0,0,0,0,1,0,pin25
chr10+69505316,0,0,1,0,0,0,0,0,pin25
chr10+70578093,0,1,0,0,0,0,0,0,pin25
chr10+70743078,0,1,0,0,0,0,0,0,pin25
chr10+71757432,0,0,0,0,0,0,1,0,pin25
chr10+72318752,0,0,0,1,0,0,0,0,pin25
chr10+74230944,0,0,1,0,0,0,0,0,pin25
chr10+7489505,0,1,0,0,0,0,0,0,pin25
chr10+79999608,0,0,1,0,0,0,0,0,pin25
chr10+8367428,0,0,1,0,0,0,0,0,pin25
chr10+8417312,0,0,0,0,0,0,1,0,pin25
chr10+86414360,0,1,0,0,0,0,0,0,pin25
chr10+8727589,0,0,0,0,0,0,1,0,pin25
chr10+87838314,0,1,0,0,0,0,0,0,pin25
chr10+88901254,0,0,0,0,0,0,1,0,pin25
chr10+91411494,0,0,0,0,0,0,0,1,pin25
chr10+95784377,0,0,0,0,0,0,1,0,pin25
chr10+96153523,0,1,0,0,0,0,0,0,pin25
chr10+99672077,0,0,0,0,0,1,0,0,pin25
chr11-10152575,0,0,0,0,1,0,0,0,pin25
chr11-102289151,0,0,0,0,0,0,1,0,pin25
chr11-102312703,0,0,1,0,0,0,0,0,pin25
chr11-10541130,0,1,0,0,0,0,0,0,pin25
chr11-109972885,0,0,0,0,0,0,1,0,pin25
chr11-110347577,0,1,0,0,0,0,0,0,pin25
chr11-110354872,0,0,0,0,0,0,1,0,pin25
chr11-111942754,0,0,0,1,0,0,0,0,pin25
chr11-115375537,0,0,0,0,0,0,1,0,pin25
chr11-116853311,0,0,1,0,0,0,0,0,pin25
chr11-118213819,0,0,0,0,0,0,1,0,pin25
chr11-118228378,0,0,0,0,0,0,1,0,pin25
chr11-118442366,0,0,0,1,0,0,0,0,pin25
chr11-118871061,0,0,2,0,0,0,0,0,pin25
chr11-121455288,0,0,0,0,0,0,1,0,pin25
chr11-12158101,0,1,0,0,0,0,0,0,pin25
chr11-12167861,0,0,0,0,0,0,1,0,pin25
chr11-124252418,0,0,1,0,0,0,0,0,pin25
chr11-133929233,0,0,0,0,0,0,1,0,pin25
chr11-14765640,0,0,1,0,0,0,0,0,pin25
chr11-14769614,0,1,0,0,0,0,0,0,pin25
chr11-16899361,0,0,0,0,0,0,1,0,pin25
chr11-16902952,0,0,0,1,0,0,0,0,pin25
chr11-1727053,2,0,0,0,0,0,0,0,pin25
chr11-28108985,0,1,0,0,0,0,0,0,pin25
chr11-308759,0,1,0,0,0,0,0,0,pin25
chr11-355490,0,1,0,0,0,0,0,0,pin25
chr11-3841894,0,0,0,1,0,0,0,0,pin25
chr11-44568068,0,1,0,0,0,0,0,0,pin25
chr11-44573918,0,0,0,0,0,0,1,0,pin25
chr11-48011112,0,0,0,0,0,0,1,0,pin25
chr11-48012688,0,0,0,0,0,0,1,0,pin25
chr11-48043422,0,0,0,0,0,0,1,0,pin25
chr11-61092283,0,1,0,0,0,0,0,0,pin25
chr11-61669278,0,0,1,0,0,0,0,0,pin25
chr11-62555962,0,0,0,0,0,0,1,0,pin25
chr11-62842389,0,0,0,0,0,0,1,0,pin25
chr11-65143735,0,0,1,0,0,0,0,0,pin25
chr11-65489212,0,0,2,0,0,0,0,0,pin25
chr11-65493680,0,0,0,0,0,0,1,0,pin25
chr11-6606736,0,1,0,0,0,0,0,0,pin25
chr11-6744091,0,1,0,0,0,0,0,0,pin25
chr11-67488563,0,0,3,0,0,0,0,0,pin25
chr11-68038712,0,1,0,0,0,0,0,0,pin25
chr11-68549757,0,0,0,0,0,0,1,0,pin25
chr11-73430803,0,0,0,0,0,0,1,0,pin25
chr11-73994969,0,0,0,1,0,0,0,0,pin25
chr11-74020778,0,0,0,0,0,0,1,0,pin25
chr11-74023959,0,0,0,0,0,0,1,0,pin25
chr11-75814641,0,0,0,0,0,0,1,0,pin25
chr11-82919606,0,0,0,1,0,0,0,0,pin25
chr11-83063997,0,0,1,0,0,0,0,0,pin25
chr11-85753876,0,0,1,0,0,0,0,0,pin25
chr11-86227125,0,0,0,0,0,0,1,0,pin25
chr11-86242044,0,0,0,0,0,0,1,0,pin25
chr11-86805573,0,0,0,0,0,0,1,0,pin25
chr11-87660741,0,0,0,0,0,0,1,0,pin25
chr11-88355130,0,0,0,0,0,0,1,0,pin25
chr11-93689083,0,0,0,0,0,0,1,0,pin25
chr11-95690112,0,1,0,0,0,0,0,0,pin25
chr11-96074517,0,1,0,0,0,0,0,0,pin25
chr11-96076217,0,1,0,0,0,0,0,0,pin25
chr11-96150750,0,0,0,0,0,0,1,0,pin25
chr11-9756900,0,0,0,0,0,0,1,0,pin25
chr11+102316080,0,1,0,0,0,0,0,0,pin25
chr11+10455591,0,0,1,0,0,0,0,0,pin25
chr11+104764063,0,0,0,0,0,0,1,0,pin25
chr11+10859629,0,1,0,0,0,0,0,0,pin25
chr11+110347139,0,0,0,0,0,0,1,0,pin25
chr11+113594580,0,0,0,0,0,0,1,0,pin25
chr11+117942578,0,0,0,0,0,0,1,0,pin25
chr11+118048066,0,0,0,0,0,0,1,0,pin25
chr11+118242185,0,0,0,0,0,0,1,0,pin25
chr11+12134081,0,0,0,0,0,0,1,0,pin25
chr11+121453261,0,0,0,0,0,0,1,0,pin25
chr11+121453426,0,0,0,0,0,1,0,0,pin25
chr11+12165851,0,1,0,0,0,0,0,0,pin25
chr11+122698804,0,1,0,0,0,0,0,0,pin25
chr11+122939202,0,0,0,0,0,0,1,0,pin25
chr11+128327376,0,0,0,0,0,0,1,0,pin25
chr11+128628521,0,0,0,0,0,0,1,0,pin25
chr11+128965566,0,1,0,0,0,0,0,0,pin25
chr11+129967905,0,0,0,0,0,0,1,0,pin25
chr11+13287803,0,0,0,0,0,0,1,0,pin25
chr11+134275011,0,0,0,0,0,0,1,0,pin25
chr11+14543203,0,0,0,0,0,0,1,0,pin25
chr11+14764558,0,0,1,0,0,0,0,0,pin25
chr11+14766039,0,0,0,0,0,0,1,0,pin25
chr11+16901376,0,0,0,0,0,0,1,0,pin25
chr11+18706426,0,0,0,0,0,0,1,0,pin25
chr11+22666529,0,1,0,0,0,0,0,0,pin25
chr11+22668870,0,0,1,0,0,0,0,0,pin25
chr11+34435735,0,0,1,0,0,0,0,0,pin25
chr11+355232,0,1,0,0,0,0,0,0,pin25
chr11+44574453,0,0,1,0,0,0,0,0,pin25
chr11+46212657,0,0,1,0,0,0,0,0,pin25
chr11+48007890,0,0,0,0,0,0,1,0,pin25
chr11+48016836,0,0,0,0,0,0,1,0,pin25
chr11+48054560,0,0,0,0,0,0,1,0,pin25
chr11+48096418,0,0,0,0,0,0,1,0,pin25
chr11+56478556,0,0,0,0,0,1,0,0,pin25
chr11+57426465,0,0,0,1,0,0,0,0,pin25
chr11+58392518,0,1,0,0,0,0,0,0,pin25
chr11+58576615,0,0,1,0,0,0,0,0,pin25
chr11+60982157,0,1,0,0,0,0,0,0,pin25
chr11+61333418,0,1,0,0,0,0,0,0,pin25
chr11+6323353,0,0,0,0,0,0,1,0,pin25
chr11+63610236,0,0,0,0,0,0,1,0,pin25
chr11+65639593,0,0,0,0,1,0,0,0,pin25
chr11+6619162,0,1,0,0,0,0,0,0,pin25
chr11+6677860,0,1,0,0,0,0,0,0,pin25
chr11+6742739,0,1,0,0,0,0,0,0,pin25
chr11+71931151,0,0,0,0,1,0,0,0,pin25
chr11+72325848,0,0,0,0,0,0,1,0,pin25
chr11+74749999,0,0,0,0,0,0,1,0,pin25
chr11+78039840,0,0,0,0,0,0,1,0,pin25
chr11+78325504,0,0,0,0,0,0,1,0,pin25
chr11+78343559,0,0,0,0,0,1,0,0,pin25
chr11+83052606,0,0,0,0,0,0,1,0,pin25
chr11+85751257,0,0,0,0,0,0,1,0,pin25
chr11+86204098,0,0,0,0,0,0,0,2,pin25
chr11+86441094,0,0,0,0,0,0,1,0,pin25
chr11+8681981,0,0,0,0,0,0,1,0,pin25
chr11+8683454,0,0,0,0,0,0,1,0,pin25
chr11+9002412,0,0,0,0,0,0,1,0,pin25
chr11+93196952,0,0,0,0,0,0,1,0,pin25
chr11+95067642,0,0,0,0,0,0,1,0,pin25
chr11+95067740,0,0,0,0,0,0,1,0,pin25
chr11+95697118,0,1,0,0,0,0,0,0,pin25
chr11+96078596,0,1,0,0,0,0,0,0,pin25
chr11+96200183,0,0,0,0,0,0,1,0,pin25
chr11+9841001,0,0,1,0,0,0,0,0,pin25
