posid,PBMC/D0,PBMC/D1,PBMC/W2,PBMC/W8,PBMC/Y15,PBMC/Y4,PBMC/Y8,TCELL/D-1,TCELL/M2,patient
chr1+171742677,1,0,0,0,0,0,0,0,0,pin26
chr1+172647940,0,0,0,0,0,0,0,1,0,pin26
chr1+178683049,1,0,0,0,0,0,0,0,0,pin26
chr1+181142309,1,0,0,0,0,0,0,0,0,pin26
chr1+181400208,0,0,0,0,0,0,0,1,0,pin26
chr1+183634224,0,0,1,0,0,0,0,0,0,pin26
chr1+183940651,0,0,0,1,0,0,0,0,0,pin26
chr1+184883797,0,0,0,0,0,0,0,1,0,pin26
chr1+185438686,0,0,0,0,0,0,0,1,0,pin26
chr1+185441393,0,1,0,0,0,0,0,0,0,pin26
chr1+185985313,1,0,0,0,0,0,0,0,0,pin26
chr1+18957909,0,0,1,0,0,0,0,0,0,pin26
chr1+193058361,0,0,1,0,0,0,0,0,0,pin26
chr1+193448080,0,0,1,0,0,0,0,0,0,pin26
chr1+19509774,1,0,0,0,0,0,0,0,0,pin26
chr1+198649185,1,0,0,0,0,0,0,0,0,pin26
chr1+200153783,1,0,0,0,0,0,0,0,0,pin26
chr1+200472237,1,0,0,0,0,0,0,0,0,pin26
chr1+202165208,1,0,0,0,0,0,0,0,0,pin26
chr1+202836334,0,0,1,0,0,0,0,0,0,pin26
chr1+209753586,1,0,0,0,0,0,0,0,0,pin26
chr1+212682112,0,0,1,0,0,0,0,0,0,pin26
chr1+214445132,0,0,1,0,0,0,0,0,0,pin26
chr1+222644917,0,0,1,0,0,0,0,0,0,pin26
chr1+222895712,0,0,0,0,0,0,0,1,0,pin26
chr1+223229385,0,0,0,0,0,0,0,0,1,pin26
chr1+224381111,0,0,1,0,0,0,0,0,0,pin26
chr1+224381780,0,0,0,0,0,0,0,1,0,pin26
chr1+225924967,1,0,0,0,0,0,0,0,0,pin26
chr1+226030080,1,0,0,0,0,0,0,0,0,pin26
chr1+228804063,1,0,0,0,0,0,0,0,0,pin26
chr1+230268755,0,0,1,0,0,0,0,0,0,pin26
chr1+231273734,0,0,0,0,0,0,0,1,0,pin26
chr1+232036494,1,0,0,0,0,0,0,0,0,pin26
chr1+233408718,1,0,0,0,0,0,0,0,0,pin26
chr1+234881121,0,0,1,0,0,0,0,0,0,pin26
chr1+234881578,0,0,1,0,0,0,0,0,0,pin26
chr1+235015078,0,0,0,0,0,0,0,1,0,pin26
chr1+235641475,0,0,0,0,0,0,0,1,0,pin26
chr1+236172612,0,0,0,0,0,0,0,1,0,pin26
chr1+23620395,0,0,0,0,0,0,0,0,1,pin26
chr1+236394774,0,0,0,0,0,1,0,0,0,pin26
chr1+236862488,1,0,0,0,0,0,0,0,0,pin26
chr1+239718638,1,0,0,0,0,0,0,0,0,pin26
chr1+243102241,2,0,0,0,0,0,0,0,0,pin26
chr1+244436971,1,0,0,0,0,0,0,0,0,pin26
chr1+24481808,0,0,0,1,0,0,0,0,0,pin26
chr1+244834282,0,0,1,0,0,0,0,0,0,pin26
chr1+245351249,1,0,0,0,0,0,0,0,0,pin26
chr1+24537458,1,0,0,0,0,0,0,0,0,pin26
chr1+246572915,0,0,0,1,0,0,0,0,0,pin26
chr1+247322302,0,0,0,1,0,0,0,0,0,pin26
chr1+248482898,0,0,1,0,0,0,0,0,0,pin26
chr1+24982003,0,0,1,0,0,0,0,0,0,pin26
chr1+29723330,0,0,1,0,0,0,0,0,0,pin26
chr1+31932289,1,0,0,0,0,0,0,0,0,pin26
chr1+32651891,2,0,0,0,0,0,0,0,0,pin26
chr1+40341812,0,0,0,0,0,0,0,1,0,pin26
chr1+44731977,0,0,0,0,0,0,0,1,0,pin26
chr1+47315127,0,0,0,0,0,0,1,0,0,pin26
chr1+47315597,0,0,0,0,0,0,1,0,0,pin26
chr1+50131705,1,0,0,0,0,0,0,0,0,pin26
chr1+50464582,1,0,0,0,0,0,0,0,0,pin26
chr1+52366918,1,0,0,0,0,0,0,0,0,pin26
chr1+52638259,0,0,1,0,0,0,0,0,0,pin26
chr1+59298141,1,0,0,0,0,0,0,0,0,pin26
chr1+62692005,0,0,0,0,0,0,1,0,0,pin26
chr1+65389587,1,0,0,0,0,0,0,0,0,pin26
chr1+66335996,0,0,0,1,0,0,0,0,0,pin26
chr1+66337016,1,0,0,0,0,0,0,0,0,pin26
chr1+67215652,0,0,1,0,0,0,0,0,0,pin26
chr1+71080779,1,0,0,0,0,0,0,0,0,pin26
chr1+7828301,1,0,0,0,0,0,0,0,0,pin26
chr1+82872300,0,0,1,0,0,0,0,0,0,pin26
chr1+83133681,1,0,0,0,0,0,0,0,0,pin26
chr1+83488965,0,0,0,0,0,1,0,0,0,pin26
chr1+83489121,1,0,0,0,0,0,0,0,0,pin26
chr1+83671533,1,0,0,0,0,0,0,0,0,pin26
chr1+89545559,0,0,0,0,0,0,0,1,0,pin26
chr1+89763866,1,0,0,0,0,0,0,0,0,pin26
chr1+92316561,0,0,0,0,1,0,0,0,0,pin26
chr1+92537302,1,0,0,0,0,0,0,0,0,pin26
chr1+92580246,1,0,0,0,0,0,0,0,0,pin26
chr1+92962305,1,0,0,0,0,0,0,0,0,pin26
chr1+92973636,1,0,0,0,0,0,0,0,0,pin26
chr1+92976333,0,0,0,0,0,0,0,1,0,pin26
chr1+92976907,1,0,0,0,0,0,0,0,0,pin26
chr1+92981327,0,0,1,0,0,0,0,0,0,pin26
chr1+930774,0,0,0,0,0,0,1,0,0,pin26
chr1+93695099,1,0,0,0,0,0,0,0,0,pin26
chr1+95072561,1,0,0,0,0,0,0,0,0,pin26
chr1+9716020,1,0,0,0,0,0,0,0,0,pin26
chr1+99849559,1,0,0,0,0,0,0,0,0,pin26
chr10-102118860,1,0,0,0,0,0,0,0,0,pin26
chr10-102702332,0,0,1,0,0,0,0,0,0,pin26
chr10-102704850,1,0,0,0,0,0,0,0,0,pin26
chr10-103054112,1,0,0,0,0,0,0,0,0,pin26
chr10-104120902,0,0,0,0,0,0,0,0,1,pin26
chr10-104269738,0,0,1,0,0,0,0,0,0,pin26
chr10-110077143,0,0,0,1,0,0,0,0,0,pin26
chr10-11207104,1,0,0,0,0,0,0,0,0,pin26
chr10-114352606,1,0,0,0,0,0,0,0,0,pin26
chr10-114494680,0,0,1,0,0,0,0,0,0,pin26
chr10-114910238,1,0,0,0,0,0,0,0,0,pin26
chr10-114932556,0,0,0,1,0,0,0,0,0,pin26
chr10-119133941,1,0,0,0,0,0,0,0,0,pin26
chr10-12123077,0,0,0,1,0,0,0,0,0,pin26
chr10-125482689,0,0,1,0,0,0,0,0,0,pin26
chr10-12702535,1,0,0,0,0,0,0,0,0,pin26
chr10-12702946,1,0,0,0,0,0,0,0,0,pin26
chr10-12712697,1,0,0,0,0,0,0,0,0,pin26
chr10-127990962,0,0,1,0,0,0,0,0,0,pin26
chr10-127991591,0,0,1,0,0,0,0,0,0,pin26
chr10-14602276,0,0,1,0,0,0,0,0,0,pin26
chr10-14645881,0,0,0,0,0,0,0,1,0,pin26
chr10-14650931,0,0,0,1,0,0,0,0,0,pin26
chr10-14744276,1,0,0,0,0,0,0,0,0,pin26
chr10-15189833,1,0,0,0,0,0,0,0,0,pin26
chr10-16438944,2,0,0,0,0,0,0,0,0,pin26
chr10-17158303,0,0,1,0,0,0,0,0,0,pin26
chr10-17674184,0,0,1,0,0,0,0,0,0,pin26
chr10-1938854,0,0,0,0,0,0,0,1,0,pin26
chr10-21660375,0,0,1,0,0,0,0,0,0,pin26
chr10-22316967,0,0,0,0,0,0,1,0,0,pin26
chr10-22321593,0,0,0,0,1,0,0,0,0,pin26
chr10-22629919,1,0,0,0,0,0,0,0,0,pin26
chr10-22647917,0,0,0,0,0,0,0,1,0,pin26
chr10-22658801,1,0,0,0,0,0,0,0,0,pin26
chr10-23391604,1,0,0,0,0,0,0,0,0,pin26
chr10-24895215,0,0,0,0,0,0,0,1,0,pin26
chr10-29482400,0,0,1,0,0,0,0,0,0,pin26
chr10-30501728,0,0,0,0,0,0,0,1,0,pin26
chr10-30684900,0,0,2,0,0,0,0,0,0,pin26
chr10-30694876,0,0,0,1,0,0,0,0,0,pin26
chr10-30962250,0,0,1,0,0,0,0,0,0,pin26
chr10-31096136,0,0,1,0,0,0,0,0,0,pin26
chr10-32379072,1,0,0,0,0,0,0,0,0,pin26
chr10-3855367,0,0,0,0,1,0,0,0,0,pin26
chr10-4034455,0,0,0,0,0,1,0,0,0,pin26
chr10-4130693,0,0,0,0,1,0,0,0,0,pin26
chr10-41847527,0,0,0,1,0,0,0,0,0,pin26
chr10-43228014,0,0,1,0,0,0,0,0,0,pin26
chr10-43391881,1,0,0,0,0,0,0,0,0,pin26
chr10-45766297,0,0,0,0,0,0,0,1,0,pin26
chr10-47145376,1,0,0,0,0,0,0,0,0,pin26
chr10-47553931,1,0,0,0,0,0,0,0,0,pin26
chr10-50396699,1,0,0,0,0,0,0,0,0,pin26
chr10-55647094,1,0,0,0,0,0,0,0,0,pin26
chr10-5846808,1,0,0,0,0,0,0,0,0,pin26
chr10-6046421,0,0,1,0,0,0,0,0,0,pin26
chr10-60575130,0,0,0,0,0,0,0,1,0,pin26
chr10-6067587,0,0,0,0,1,0,0,0,0,pin26
chr10-6067932,0,0,0,1,0,0,0,0,0,pin26
chr10-6069977,0,0,0,0,1,0,0,0,0,pin26
chr10-6071380,0,0,1,0,0,0,0,0,0,pin26
chr10-6071745,0,0,0,1,0,0,0,0,0,pin26
chr10-6071801,0,0,0,0,0,0,5,0,0,pin26
chr10-6073495,0,0,0,0,1,0,0,0,0,pin26
chr10-6073505,0,0,0,0,1,0,0,0,0,pin26
chr10-6074014,0,0,0,1,0,0,0,0,0,pin26
chr10-6074321,0,0,0,0,1,0,0,0,0,pin26
chr10-6081536,0,0,0,1,0,0,0,0,0,pin26
chr10-6081628,0,0,0,0,0,0,0,0,1,pin26
chr10-6082327,0,0,0,1,0,0,0,0,0,pin26
chr10-6083037,0,0,0,0,1,0,0,0,0,pin26
chr10-6083342,0,0,0,0,1,0,0,0,0,pin26
chr10-6086210,0,0,0,0,1,0,0,0,0,pin26
chr10-62045121,0,0,0,0,1,0,0,0,0,pin26
chr10-62130776,1,0,0,0,0,0,0,0,0,pin26
chr10-62527975,1,0,0,0,0,0,0,0,0,pin26
chr10-62812547,0,0,1,0,0,0,0,0,0,pin26
chr10-62854477,0,0,0,0,1,0,0,0,0,pin26
chr10-6599951,1,0,0,0,0,0,0,0,0,pin26
chr10-68074331,1,0,0,0,0,0,0,0,0,pin26
chr10-68720901,1,0,0,0,0,0,0,0,0,pin26
chr10-69047318,1,0,0,0,0,0,0,0,0,pin26
chr10-69066654,0,0,1,0,0,0,0,0,0,pin26
chr10-7033440,1,0,0,0,0,0,0,0,0,pin26
chr10-71537976,1,0,0,0,0,0,0,0,0,pin26
chr10-72294981,1,0,0,0,0,0,0,0,0,pin26
chr10-73095388,0,0,1,0,0,0,0,0,0,pin26
chr10-74081196,1,0,0,0,0,0,0,0,0,pin26
chr10-74192315,1,0,0,0,0,0,0,0,0,pin26
chr10-7471078,1,0,0,0,0,0,0,0,0,pin26
chr10-75111857,1,0,0,0,0,0,0,0,0,pin26
chr10-75236414,0,0,0,0,1,0,0,0,0,pin26
chr10-77504775,0,0,0,1,0,0,0,0,0,pin26
chr10-78975121,0,0,1,0,0,0,0,0,0,pin26
chr10-79318006,0,0,0,0,0,0,0,1,0,pin26
chr10-79318370,1,0,0,0,0,0,0,0,0,pin26
chr10-80465721,0,0,0,1,0,0,0,0,0,pin26
chr10-80486642,0,0,1,0,0,0,0,0,0,pin26
chr10-8132746,0,0,0,0,0,0,0,0,1,pin26
chr10-8257129,0,0,1,0,0,0,0,0,0,pin26
chr10-8315284,0,0,0,0,0,0,0,1,0,pin26
chr10-8332226,1,0,0,0,0,0,0,0,0,pin26
chr10-88236006,2,0,0,0,0,0,0,0,0,pin26
chr10-90875893,0,0,0,0,1,0,0,0,0,pin26
chr10-9088819,0,0,1,0,0,0,0,0,0,pin26
chr10-9308509,0,0,0,1,0,0,0,0,0,pin26
chr10-95783541,1,0,0,0,0,0,0,0,0,pin26
chr10-98464761,1,0,0,0,0,0,0,0,0,pin26
chr10+102643302,1,0,0,0,0,0,0,0,0,pin26
chr10+103583823,0,0,1,0,0,0,0,0,0,pin26
chr10+105565719,0,0,0,0,0,0,0,1,0,pin26
chr10+110384085,1,0,0,0,0,0,0,0,0,pin26
chr10+110388581,1,0,0,0,0,0,0,0,0,pin26
chr10+110448225,0,1,0,0,0,0,0,0,0,pin26
chr10+110871407,1,0,0,0,0,0,0,0,0,pin26
chr10+11148818,0,0,0,0,0,0,0,1,0,pin26
chr10+114911749,0,0,0,0,0,0,0,0,1,pin26
chr10+116476401,0,0,1,0,0,0,0,0,0,pin26
chr10+123178422,1,0,0,0,0,0,0,0,0,pin26
chr10+12594209,0,0,0,1,0,0,0,0,0,pin26
chr10+12691843,1,0,0,0,0,0,0,0,0,pin26
chr10+12701339,1,0,0,0,0,0,0,0,0,pin26
chr10+132551118,1,0,0,0,0,0,0,0,0,pin26
chr10+14564016,0,0,0,1,0,0,0,0,0,pin26
chr10+17002746,0,0,0,0,0,0,0,0,1,pin26
chr10+17026390,1,0,0,0,0,0,0,0,0,pin26
chr10+17027750,0,0,0,0,1,0,0,0,0,pin26
chr10+21051146,0,0,0,0,0,0,0,1,0,pin26
chr10+22333857,0,0,1,0,0,0,0,0,0,pin26
chr10+22654049,0,0,0,1,0,0,0,0,0,pin26
chr10+23363441,1,0,0,0,0,0,0,0,0,pin26
chr10+23369502,1,0,0,0,0,0,0,0,0,pin26
chr10+24921168,0,0,1,0,0,0,0,0,0,pin26
chr10+27242795,0,1,0,0,0,0,0,0,0,pin26
chr10+28533779,1,0,0,0,0,0,0,0,0,pin26
chr10+28669853,0,0,0,0,0,0,0,1,0,pin26
chr10+30049196,1,0,0,0,0,0,0,0,0,pin26
chr10+30705609,0,2,0,0,0,0,0,0,0,pin26
chr10+30856932,0,0,1,0,0,0,0,0,0,pin26
chr10+30904372,0,0,1,0,0,0,0,0,0,pin26
chr10+32332919,0,0,1,0,0,0,0,0,0,pin26
chr10+33086582,0,0,1,0,0,0,0,0,0,pin26
chr10+33113640,0,0,1,0,0,0,0,0,0,pin26
chr10+33263757,1,0,0,0,0,0,0,0,0,pin26
chr10+3829281,0,0,0,1,0,0,0,0,0,pin26
chr10+3872188,0,0,0,0,0,0,0,1,0,pin26
chr10+42072124,0,0,0,1,0,0,0,0,0,pin26
chr10+42073940,0,0,0,1,0,0,0,0,0,pin26
chr10+42079866,0,0,0,1,0,0,0,0,0,pin26
chr10+43129101,1,0,0,0,0,0,0,0,0,pin26
chr10+43407730,0,0,1,0,0,0,0,0,0,pin26
chr10+46786443,1,0,0,0,0,0,0,0,0,pin26
chr10+47268746,1,0,0,0,0,0,0,0,0,pin26
chr10+4903024,1,0,0,0,0,0,0,0,0,pin26
chr10+49079145,0,0,0,0,0,0,0,1,0,pin26
chr10+49182816,0,0,0,0,1,0,0,0,0,pin26
