seqnames,start,end,width,strand,dataSource,GTSP,patient,reads,refGenome,sampleName,timePoint,timePointDays,timePointMonths,posid,inFeature,nearestFeature,nearestFeatureStrand,inFeatureExon,inFeatureSameOrt,nearestFeatureDist,nearestOncoFeature,nearestOncoFeatureDist,nearestOncoFeatureStrand,nearestlymphomaFeature,nearestlymphomaFeatureDist,nearestlymphomaFeatureStrand,cellType
chr17,2267194,2267363,170,+,454,LS-10,pin30,3,hg38,LS-10-0,D-1,-1,-0,chr17+2267194,TRUE,SMG6,-,FALSE,FALSE,0,SMG6,0,-,None.found,Inf,None.found,TCELL
chr12,2335400,2335439,40,+,454,LS-10,pin30,1,hg38,LS-10-0,D-1,-1,-0,chr12+2335400,TRUE,CACNA1C,+,FALSE,TRUE,0,FOXM1,522279,-,CCND2,-1938334,+,TCELL
chr4,2492616,2492844,229,+,454,LS-10,pin30,3,hg38,LS-10-0,D-1,-1,-0,chr4+2492616,TRUE,RNF4,+,FALSE,TRUE,-0,SH3BP2,-300405,+,RAP1GDS1,-95768758,+,TCELL
chr1,2525223,2525705,483,-,454,LS-10,pin30,1,hg38,LS-10-0,D-1,-1,-0,chr1-2525705,TRUE,PANK4,-,FALSE,TRUE,0,PLCH2,20174,+,LCK,-29725532,+,TCELL
chr16,2604210,2604342,133,+,454,LS-10,pin30,4,hg38,LS-10-0,D-1,-1,-0,chr16+2604210,TRUE,LOC652276,+,FALSE,TRUE,0,CCNF,145351,+,None.found,Inf,None.found,TCELL
chr18,2690097,2690186,90,+,454,LS-10,pin30,2,hg38,LS-10-0,D-1,-1,-0,chr18+2690097,TRUE,SMCHD1,+,FALSE,TRUE,0,DLGAP1,805933,-,BCL2,60433247,-,TCELL
chr4,2692505,2692666,162,+,454,LS-10,pin30,8,hg38,LS-10-0,D-1,-1,-0,chr4+2692505,TRUE,FAM193A,+,FALSE,TRUE,-0,SH3BP2,-100516,+,RAP1GDS1,-95568869,+,TCELL
chr17,2712370,2712459,90,+,454,LS-10,pin30,4,hg38,LS-10-0,D-1,-1,-0,chr17+2712370,TRUE,LOC105371592,+,TRUE,TRUE,0,SMG6,-408594,-,None.found,Inf,None.found,TCELL
chr9,2764909,2764988,80,-,454,LS-10,pin30,1,hg38,LS-10-0,D-1,-1,-0,chr9-2764988,FALSE,KCNV2,+,FALSE,FALSE,34950,JAK2,-2220096,+,JAK2,-2220096,+,TCELL
chr16,2841050,2841192,143,-,454,LS-10,pin30,5,hg38,LS-10-0,D-1,-1,-0,chr16-2841192,TRUE,PRSS30P,-,TRUE,TRUE,0,CCNF,382333,+,None.found,Inf,None.found,TCELL
chr6,2853964,2854021,58,-,454,LS-10,pin30,2,hg38,LS-10-0,D-1,-1,-0,chr6-2854021,FALSE,MIR4645,-,FALSE,TRUE,8,SERPINB1,-11971,-,BRD2,-30114637,+,TCELL
chr6,2856299,2856364,66,+,454,LS-10,pin30,3,hg38,LS-10-0,D-1,-1,-0,chr6+2856299,TRUE,SERPINB9P1,-,FALSE,FALSE,-0,SERPINB1,-14249,-,BRD2,-30112359,+,TCELL
chr12,2877864,2877954,91,+,454,LS-10,pin30,20,hg38,LS-10-0,D-1,-1,-0,chr12+2877864,TRUE,RHNO1,+,FALSE,TRUE,0,FOXM1,-708,-,CCND2,-1395870,+,TCELL
chrY,2887065,2887374,310,-,454,LS-10,pin30,1,hg38,LS-10-0,D-1,-1,-0,chrY-2887374,FALSE,RPS4Y1,+,FALSE,FALSE,20417,P2RY8,-1350229,-,None.found,Inf,None.found,TCELL
chr19,2910970,2911148,179,+,454,LS-10,pin30,4,hg38,LS-10-0,D-1,-1,-0,chr19+2910970,TRUE,ZNF57,+,FALSE,TRUE,-0,GNA11,-183438,+,TCF3,-1258640,-,TCELL
chr20,2911555,2911667,113,+,454,LS-10,pin30,7,hg38,LS-10-0,D-1,-1,-0,chr20+2911555,TRUE,PTPRA,+,FALSE,TRUE,0,CDC25B,-875215,+,None.found,Inf,None.found,TCELL
chr18,2970222,2970591,370,+,454,LS-10,pin30,4,hg38,LS-10-0,D-1,-1,-0,chr18+2970222,TRUE,LPIN2,-,FALSE,FALSE,0,DLGAP1,525808,-,BCL2,60153122,-,TCELL
chr11,2980908,2981052,145,-,454,LS-10,pin30,1,hg38,LS-10-0,D-1,-1,-0,chr11-2981052,TRUE,NAP1L4,-,FALSE,TRUE,0,CARS,19868,-,NUP98,693956,-,TCELL
chr20,2985802,2985911,110,-,454,LS-10,pin30,1,hg38,LS-10-0,D-1,-1,-0,chr20-2985911,TRUE,PTPRA,+,FALSE,FALSE,-0,CDC25B,-800859,+,None.found,Inf,None.found,TCELL
chrY,3019034,3019131,98,+,454,LS-10,pin30,4,hg38,LS-10-0,D-1,-1,-0,chrY+3019034,TRUE,LINC00278,+,FALSE,TRUE,0,P2RY8,-1481889,-,None.found,Inf,None.found,TCELL
chr18,3060097,3060461,365,-,454,LS-10,pin30,1,hg38,LS-10-0,D-1,-1,-0,chr18-3060461,FALSE,MYOM1,-,FALSE,TRUE,6344,DLGAP1,435569,-,BCL2,60062883,-,TCELL
chr16,3096279,3096562,284,+,454,LS-10,pin30,6,hg38,LS-10-0,D-1,-1,-0,chr16+3096279,TRUE,ZSCAN10,-,FALSE,FALSE,0,TRAP1,561756,-,None.found,Inf,None.found,TCELL
chr7,3118811,3119057,247,+,454,LS-10,pin30,18,hg38,LS-10-0,D-1,-1,-0,chr7+3118811,FALSE,LOC100129603,-,FALSE,FALSE,22104,CARD11,-74865,-,None.found,Inf,None.found,TCELL
chr18,3176072,3176191,120,+,454,LS-10,pin30,2,hg38,LS-10-0,D-1,-1,-0,chr18+3176072,TRUE,MYOM1,-,TRUE,FALSE,0,DLGAP1,319958,-,BCL2,59947272,-,TCELL
chr9,3398165,3398248,84,-,454,LS-10,pin30,1,hg38,LS-10-0,D-1,-1,-0,chr9-3398248,TRUE,RFX3,-,FALSE,TRUE,0,JAK2,-1586836,+,JAK2,-1586836,+,TCELL
chr18,3450282,3450389,108,-,454,LS-10,pin30,10,hg38,LS-10-0,D-1,-1,-0,chr18-3450389,TRUE,TGIF1,+,TRUE,FALSE,-0,DLGAP1,45641,-,BCL2,59672955,-,TCELL
chr9,3527339,3527399,61,-,454,LS-10,pin30,2,hg38,LS-10-0,D-1,-1,-0,chr9-3527399,FALSE,RFX3,-,FALSE,TRUE,-1397,JAK2,-1457685,+,JAK2,-1457685,+,TCELL
chr16,3577019,3577074,56,+,454,LS-10,pin30,3,hg38,LS-10-0,D-1,-1,-0,chr16+3577019,TRUE,NLRC3,-,FALSE,FALSE,0,TRAP1,81016,-,None.found,Inf,None.found,TCELL
chr9,3585601,3585847,247,-,454,LS-10,pin30,2,hg38,LS-10-0,D-1,-1,-0,chr9-3585847,FALSE,RFX3,-,FALSE,TRUE,-59845,JAK2,-1399237,+,JAK2,-1399237,+,TCELL
chr18,3593001,3593095,95,-,454,LS-10,pin30,5,hg38,LS-10-0,D-1,-1,-0,chr18-3593095,TRUE,DLGAP1,-,FALSE,TRUE,-0,DLGAP1,-0,-,BCL2,59530249,-,TCELL
chr18,3594705,3594943,239,-,454,LS-10,pin30,3,hg38,LS-10-0,D-1,-1,-0,chr18-3594943,TRUE,"DLGAP1,DLGAP1-AS1","-,+",FALSE,FALSE,-0,DLGAP1,-0,-,BCL2,59528401,-,TCELL
chr18,3604163,3604321,159,-,454,LS-10,pin30,1,hg38,LS-10-0,D-1,-1,-0,chr18-3604321,TRUE,"DLGAP1,DLGAP1-AS2","-,+",FALSE,FALSE,-0,DLGAP1,-0,-,BCL2,59519023,-,TCELL
chr17,3639447,3639677,231,+,454,LS-10,pin30,1,hg38,LS-10-0,D-1,-1,-0,chr17+3639447,TRUE,CTNS,+,FALSE,TRUE,0,TRPV1,-30035,-,None.found,Inf,None.found,TCELL
chr12,3753572,3753950,379,-,454,LS-10,pin30,4,hg38,LS-10-0,D-1,-1,-0,chr12-3753950,FALSE,CRACR2A,-,FALSE,TRUE,-749,CCND2-AS1,494815,-,CCND2,-519784,+,TCELL
chr17,3764754,3764787,34,-,454,LS-10,pin30,2,hg38,LS-10-0,D-1,-1,-0,chr17-3764787,TRUE,ITGAE,-,FALSE,TRUE,0,TRPV1,-155375,-,None.found,Inf,None.found,TCELL
chr11,3798100,3798208,109,+,454,LS-10,pin30,1,hg38,LS-10-0,D-1,-1,-0,chr11+3798100,TRUE,PGAP2,+,TRUE,TRUE,0,NUP98,-307,-,NUP98,-307,-,TCELL
chr10,3800476,3800731,256,+,454,LS-10,pin30,1,hg38,LS-10-0,D-1,-1,-0,chr10+3800476,FALSE,KLF6,-,FALSE,FALSE,-15194,KLF6,-15194,-,KLF6,-15194,-,TCELL
chr12,3807248,3807390,143,+,454,LS-10,pin30,4,hg38,LS-10-0,D-1,-1,-0,chr12+3807248,FALSE,PARP11,-,FALSE,FALSE,1611,CCND2-AS1,441517,-,CCND2,-466486,+,TCELL
chr10,3829142,3829243,102,+,454,LS-10,pin30,1,hg38,LS-10-0,D-1,-1,-0,chr10+3829142,FALSE,LOC105376365,+,FALSE,TRUE,-4806,KLF6,-43860,-,KLF6,-43860,-,TCELL
chr12,3871675,3871824,150,-,454,LS-10,pin30,1,hg38,LS-10-0,D-1,-1,-0,chr12-3871824,TRUE,PARP11,-,FALSE,TRUE,0,CCND2-AS1,376941,-,CCND2,-401910,+,TCELL
chr17,3910813,3910966,154,+,454,LS-10,pin30,3,hg38,LS-10-0,D-1,-1,-0,chr17+3910813,TRUE,P2RX1,-,FALSE,FALSE,0,TRPV1,-301401,-,None.found,Inf,None.found,TCELL
chr10,3933940,3934105,166,-,454,LS-10,pin30,1,hg38,LS-10-0,D-1,-1,-0,chr10-3934105,FALSE,MIR6078,+,FALSE,FALSE,-57053,KLF6,-148823,-,KLF6,-148823,-,TCELL
chr10,3933983,3934116,134,-,454,LS-10,pin30,1,hg38,LS-10-0,D-1,-1,-0,chr10-3934116,FALSE,MIR6078,+,FALSE,FALSE,-57042,KLF6,-148834,-,KLF6,-148834,-,TCELL
chr12,3935177,3935442,266,+,454,LS-10,pin30,2,hg38,LS-10-0,D-1,-1,-0,chr12+3935177,FALSE,PARP11,-,FALSE,FALSE,-61728,CCND2-AS1,313588,-,CCND2,-338557,+,TCELL
chr12,3950718,3951150,433,-,454,LS-10,pin30,2,hg38,LS-10-0,D-1,-1,-0,chr12-3951150,FALSE,PARP11,-,FALSE,TRUE,-77701,CCND2-AS1,297615,-,CCND2,-322584,+,TCELL
chr12,3974402,3974539,138,+,454,LS-10,pin30,4,hg38,LS-10-0,D-1,-1,-0,chr12+3974402,FALSE,PARP11,-,FALSE,FALSE,-100953,CCND2-AS1,274363,-,CCND2,-299332,+,TCELL
chr12,3978510,3978752,243,+,454,LS-10,pin30,3,hg38,LS-10-0,D-1,-1,-0,chr12+3978510,FALSE,PARP11,-,FALSE,FALSE,-105061,CCND2-AS1,270255,-,CCND2,-295224,+,TCELL
chr12,3988705,3989124,420,-,454,LS-10,pin30,2,hg38,LS-10-0,D-1,-1,-0,chr12-3989124,FALSE,PARP11,-,FALSE,TRUE,-115675,CCND2-AS1,259641,-,CCND2,-284610,+,TCELL
chr6,4020151,4020225,75,+,454,LS-10,pin30,1,hg38,LS-10-0,D-1,-1,-0,chr6+4020151,FALSE,PRPF4B,+,FALSE,TRUE,-1182,PRPF4B,-1182,+,BRD2,-28948507,+,TCELL
chr19,4074973,4075071,99,-,454,LS-10,pin30,2,hg38,LS-10-0,D-1,-1,-0,chr19-4075071,FALSE,ZBTB7A,-,FALSE,TRUE,-8125,MATK,-273258,-,TCF3,-2422741,-,TCELL
chr20,4130195,4130456,262,-,454,LS-10,pin30,3,hg38,LS-10-0,D-1,-1,-0,chr20-4130456,FALSE,SMOX,+,FALSE,FALSE,-18321,CDC25B,324334,+,None.found,Inf,None.found,TCELL
chr20,4130195,4130631,437,-,454,LS-10,pin30,1,hg38,LS-10-0,D-1,-1,-0,chr20-4130631,FALSE,SMOX,+,FALSE,FALSE,-18146,CDC25B,324509,+,None.found,Inf,None.found,TCELL
chr20,4131406,4131688,283,-,454,LS-10,pin30,3,hg38,LS-10-0,D-1,-1,-0,chr20-4131688,FALSE,SMOX,+,FALSE,FALSE,-17089,CDC25B,325566,+,None.found,Inf,None.found,TCELL
chr12,4148278,4148376,99,+,454,LS-10,pin30,1,hg38,LS-10-0,D-1,-1,-0,chr12+4148278,FALSE,CCND2-AS1,-,FALSE,FALSE,100487,CCND2-AS1,100487,-,CCND2,-125456,+,TCELL
chr20,4160549,4160979,431,-,454,LS-10,pin30,1,hg38,LS-10-0,D-1,-1,-0,chr20-4160979,TRUE,SMOX,+,FALSE,FALSE,0,CDC25B,354857,+,None.found,Inf,None.found,TCELL
chr12,4215020,4215163,144,+,454,LS-10,pin30,5,hg38,LS-10-0,D-1,-1,-0,chr12+4215020,FALSE,CCND2-AS1,-,FALSE,FALSE,33745,CCND2-AS1,33745,-,CCND2,-58714,+,TCELL
chr12,4270916,4271446,531,+,454,LS-10,pin30,1,hg38,LS-10-0,D-1,-1,-0,chr12+4270916,TRUE,CCND2-AS1,-,FALSE,FALSE,0,CCND2-AS1,0,-,CCND2,-2818,+,TCELL
chr9,4308761,4308914,154,+,454,LS-10,pin30,5,hg38,LS-10-0,D-1,-1,-0,chr9+4308761,FALSE,GLIS3,-,FALSE,FALSE,-8725,JAK2,-676323,+,JAK2,-676323,+,TCELL
chr17,4376473,4376854,382,-,454,LS-10,pin30,1,hg38,LS-10-0,D-1,-1,-0,chr17-4376854,FALSE,UBE2G1,-,FALSE,TRUE,-10179,MYBBP1A,162040,-,None.found,Inf,None.found,TCELL
chr3,4396698,4396829,132,+,454,LS-10,pin30,2,hg38,LS-10-0,D-1,-1,-0,chr3+4396698,TRUE,SUMF1,-,FALSE,FALSE,-0,CNTN4,1338736,+,None.found,Inf,None.found,TCELL
chr16,4475558,4475840,283,+,454,LS-10,pin30,4,hg38,LS-10-0,D-1,-1,-0,chr16+4475558,TRUE,"NMRAL1,HMOX2","-,+",FALSE,FALSE,-0,TFAP4,-202557,-,None.found,Inf,None.found,TCELL
chr9,4530930,4531295,366,+,454,LS-10,pin30,1,hg38,LS-10-0,D-1,-1,-0,chr9+4530930,TRUE,SLC1A1,+,FALSE,TRUE,0,JAK2,-454154,+,JAK2,-454154,+,TCELL
chr9,4601428,4601749,322,-,454,LS-10,pin30,2,hg38,LS-10-0,D-1,-1,-0,chr9-4601749,TRUE,SPATA6L,-,FALSE,TRUE,-0,JAK2,-383335,+,JAK2,-383335,+,TCELL
chr17,4729096,4729149,54,-,454,LS-10,pin30,4,hg38,LS-10-0,D-1,-1,-0,chr17-4729149,FALSE,MED11,+,FALSE,FALSE,-2257,ALOX15,-87475,-,None.found,Inf,None.found,TCELL
chr20,4813627,4813876,250,-,454,LS-10,pin30,3,hg38,LS-10-0,D-1,-1,-0,chr20-4813876,TRUE,RASSF2,-,FALSE,TRUE,0,RASSF2,0,-,None.found,Inf,None.found,TCELL
