posid,PBMC/D1,PBMC/W2,PBMC/W8,PBMC/Y15,PBMC/Y4,PBMC/Y8,TCELL/D-1,TCELL/M2,TCELL/Y8,patient
chr1-167600932,0,0,0,0,0,0,1,0,0,pin30
chr1-168505603,0,0,0,0,0,0,1,0,0,pin30
chr1-168514988,0,0,0,0,0,0,1,0,0,pin30
chr1-169588453,0,0,0,0,0,0,1,0,0,pin30
chr1-169678514,0,0,0,0,0,0,1,0,0,pin30
chr1-169679105,0,0,0,0,0,0,1,0,0,pin30
chr1-172669052,0,0,0,0,0,0,1,0,0,pin30
chr1-172708340,0,0,0,0,0,0,1,0,0,pin30
chr1-179035444,0,0,0,0,0,0,1,0,0,pin30
chr1-179883331,0,0,0,1,0,0,0,0,0,pin30
chr1-1824351,0,0,0,0,0,0,1,0,0,pin30
chr1-182616887,0,0,0,0,0,0,1,0,0,pin30
chr1-182863138,0,0,0,0,0,0,1,0,0,pin30
chr1-186572192,0,0,0,0,1,0,0,0,0,pin30
chr1-192530992,0,0,0,0,0,0,1,0,0,pin30
chr1-198537955,0,0,0,0,0,0,1,0,0,pin30
chr1-198677780,0,0,0,0,0,0,1,0,0,pin30
chr1-198681152,0,0,1,0,0,0,0,0,0,pin30
chr1-200449788,0,0,0,0,0,0,1,0,0,pin30
chr1-203006923,0,0,0,0,0,0,1,0,0,pin30
chr1-203278292,0,0,0,0,0,0,1,0,0,pin30
chr1-203287835,0,0,0,0,0,0,1,0,0,pin30
chr1-203289006,0,0,0,0,0,0,1,0,0,pin30
chr1-203653942,0,0,0,0,0,0,1,0,0,pin30
chr1-204324157,0,0,0,0,0,0,1,0,0,pin30
chr1-205812159,0,0,0,0,0,0,1,0,0,pin30
chr1-206578984,0,0,0,0,0,0,1,0,0,pin30
chr1-209696460,0,0,0,0,0,0,1,0,0,pin30
chr1-209719384,0,0,0,0,0,0,1,0,0,pin30
chr1-209752652,0,0,0,0,0,0,1,0,0,pin30
chr1-212723961,0,0,0,0,0,0,1,0,0,pin30
chr1-22036743,0,0,0,0,0,0,1,0,0,pin30
chr1-22047290,0,0,0,0,0,0,1,0,0,pin30
chr1-221725840,0,0,0,0,0,0,1,0,0,pin30
chr1-221827669,0,1,0,0,0,0,0,0,0,pin30
chr1-223229881,2,0,0,0,0,0,0,0,0,pin30
chr1-223701330,0,0,0,0,0,0,1,0,0,pin30
chr1-225917564,0,0,0,0,0,0,1,0,0,pin30
chr1-226406027,0,0,0,0,0,1,0,0,0,pin30
chr1-226730831,0,0,1,0,0,0,0,0,0,pin30
chr1-232853049,0,0,0,1,0,0,0,0,0,pin30
chr1-234964813,0,0,0,0,0,0,1,0,0,pin30
chr1-235872133,0,0,0,0,0,0,1,0,0,pin30
chr1-23594925,0,0,0,0,0,0,1,0,0,pin30
chr1-241846852,0,0,0,0,0,1,0,0,0,pin30
chr1-24186365,0,0,0,0,0,0,1,0,0,pin30
chr1-243253928,0,0,0,0,0,1,0,0,0,pin30
chr1-244833729,0,0,0,0,0,0,1,0,0,pin30
chr1-24539970,0,0,0,0,0,0,1,0,0,pin30
chr1-25000876,0,0,0,0,0,0,1,0,0,pin30
chr1-25027674,0,0,0,1,0,0,0,0,0,pin30
chr1-2525705,0,0,0,0,0,0,1,0,0,pin30
chr1-26359233,0,0,0,0,0,0,1,0,0,pin30
chr1-39817111,0,0,0,0,0,0,1,0,0,pin30
chr1-41640947,0,0,0,0,0,0,1,0,0,pin30
chr1-41674117,0,0,0,0,0,0,1,0,0,pin30
chr1-44806916,0,0,0,0,0,0,1,0,0,pin30
chr1-45545499,0,0,0,0,0,0,0,0,1,pin30
chr1-59349814,0,0,0,0,0,0,1,0,0,pin30
chr1-59473927,0,0,0,0,0,0,1,0,0,pin30
chr1-59480056,0,1,0,0,0,0,0,0,0,pin30
chr1-6038425,0,0,0,0,1,0,0,0,0,pin30
chr1-6038547,0,0,0,0,0,1,0,0,0,pin30
chr1-6604471,0,0,0,0,0,0,1,0,0,pin30
chr1-67192178,0,0,0,0,0,0,1,0,0,pin30
chr1-70438419,0,0,0,0,0,0,1,0,0,pin30
chr1-71081538,0,0,0,0,0,0,1,0,0,pin30
chr1-77661954,0,0,0,0,0,0,1,0,0,pin30
chr1-77779085,0,0,0,0,0,0,1,0,0,pin30
chr1-8095636,0,0,0,0,0,0,1,0,0,pin30
chr1-8283597,0,0,0,0,0,0,1,0,0,pin30
chr1-84573915,0,0,0,0,0,0,1,0,0,pin30
chr1-87333217,0,0,0,0,0,0,1,0,0,pin30
chr1-8945773,0,0,0,0,0,0,1,0,0,pin30
chr1-89545509,0,0,0,0,0,0,1,0,0,pin30
chr1-8959918,0,0,0,0,0,0,1,0,0,pin30
chr1-9093976,0,0,0,0,0,0,1,0,0,pin30
chr1-92974142,0,0,0,0,2,0,0,0,0,pin30
chr1-9668279,0,0,0,0,0,0,1,0,0,pin30
chr1-98871331,0,0,0,0,0,0,1,0,0,pin30
chr1+100130552,0,0,0,0,0,0,1,0,0,pin30
chr1+100897690,0,0,0,0,0,0,1,0,0,pin30
chr1+101180480,0,0,0,0,0,0,0,1,0,pin30
chr1+101195798,0,0,0,0,0,0,1,0,0,pin30
chr1+109905359,0,0,0,0,0,0,1,0,0,pin30
chr1+111200906,0,0,0,0,0,0,1,0,0,pin30
chr1+111595477,0,0,0,0,0,0,1,0,0,pin30
chr1+116536906,0,0,0,0,0,0,1,0,0,pin30
chr1+116761430,0,0,0,0,0,0,1,0,0,pin30
chr1+116805963,0,0,0,0,0,0,1,0,0,pin30
chr1+116808552,0,0,0,0,0,0,1,0,0,pin30
chr1+116816119,0,0,0,0,1,0,0,0,0,pin30
chr1+121115172,0,0,0,3,0,0,0,0,0,pin30
chr1+12161399,0,0,0,0,0,1,0,0,0,pin30
chr1+12471723,0,0,0,1,0,0,0,0,0,pin30
chr1+12506349,0,0,0,0,0,0,1,0,0,pin30
chr1+12509920,0,0,0,0,0,0,1,0,0,pin30
chr1+13458360,0,0,0,0,1,0,0,0,0,pin30
chr1+145985861,0,0,0,0,0,0,1,0,0,pin30
chr1+145999166,0,0,0,0,0,0,1,0,0,pin30
chr1+14884275,0,0,0,0,1,0,0,0,0,pin30
chr1+149810570,0,0,0,3,0,0,0,0,0,pin30
chr1+151346746,0,0,0,0,0,0,1,0,0,pin30
chr1+152036514,0,0,0,0,0,0,0,0,1,pin30
chr1+153790030,0,0,0,0,0,0,1,0,0,pin30
chr1+154432891,0,0,0,0,0,0,1,0,0,pin30
chr1+154758914,0,0,0,0,0,0,1,0,0,pin30
chr1+154864730,0,0,0,0,0,0,1,0,0,pin30
chr1+156092915,0,0,0,0,0,0,1,0,0,pin30
chr1+156098794,0,0,0,0,0,0,1,0,0,pin30
chr1+156216959,0,0,0,0,0,0,1,0,0,pin30
chr1+156220655,0,0,0,0,0,0,1,0,0,pin30
chr1+156223899,0,0,0,0,0,0,1,0,0,pin30
chr1+156748927,0,0,0,0,0,0,1,0,0,pin30
chr1+156750776,0,0,0,0,0,0,1,0,0,pin30
chr1+15952226,0,0,0,0,0,0,1,0,0,pin30
chr1+160261493,0,0,0,0,0,0,1,0,0,pin30
chr1+160430180,0,0,0,0,0,0,1,0,0,pin30
chr1+160448722,0,0,0,0,0,0,1,0,0,pin30
chr1+160461272,0,1,0,0,0,0,0,0,0,pin30
chr1+160462887,0,0,0,0,0,0,1,0,0,pin30
chr1+160647478,0,0,0,0,0,0,1,0,0,pin30
chr1+160648847,0,0,0,0,0,0,1,0,0,pin30
chr1+160708461,0,0,0,0,0,0,1,0,0,pin30
chr1+160739884,0,1,0,0,0,0,0,0,0,pin30
chr1+161154404,0,0,0,0,0,0,1,0,0,pin30
chr1+161184240,0,0,0,0,0,0,1,0,0,pin30
chr1+167451695,0,0,0,0,0,0,1,0,0,pin30
chr1+167497018,0,0,0,0,0,1,0,0,0,pin30
chr1+167629868,0,0,0,0,0,0,0,1,0,pin30
chr1+168515589,0,0,0,0,0,0,1,0,0,pin30
chr1+169593239,0,0,0,0,0,0,1,0,0,pin30
chr1+169593394,0,0,0,0,0,0,1,0,0,pin30
chr1+169695195,0,0,0,0,0,0,1,0,0,pin30
chr1+172145879,0,1,0,0,0,0,0,0,0,pin30
chr1+174691350,0,0,0,0,0,0,1,0,0,pin30
chr1+174969385,0,0,0,0,0,0,1,0,0,pin30
chr1+178123521,0,0,0,0,0,0,1,0,0,pin30
chr1+180930302,0,0,0,0,1,0,0,0,0,pin30
chr1+18949342,1,0,0,0,0,0,0,0,0,pin30
chr1+198158505,0,0,0,0,0,0,1,0,0,pin30
chr1+198166876,0,0,0,0,0,0,1,0,0,pin30
chr1+198614240,0,0,0,0,0,0,1,0,0,pin30
chr1+198616101,0,0,0,0,0,0,1,0,0,pin30
chr1+202162647,0,0,0,0,0,1,0,0,0,pin30
chr1+203289041,1,0,0,0,0,0,0,0,0,pin30
chr1+203649160,0,0,0,1,0,0,0,0,0,pin30
chr1+207868172,0,0,0,0,0,0,1,0,0,pin30
chr1+21292501,0,0,0,0,0,0,1,0,0,pin30
chr1+214282572,0,0,0,0,0,0,1,0,0,pin30
chr1+214389636,0,0,0,0,0,0,1,0,0,pin30
chr1+214451320,0,0,0,0,0,0,1,0,0,pin30
chr1+21688658,0,0,0,0,0,0,0,0,1,pin30
chr1+221751026,0,0,0,0,0,0,1,0,0,pin30
chr1+221828110,0,0,0,0,0,1,0,0,0,pin30
chr1+224502735,0,0,0,0,0,0,1,0,0,pin30
chr1+226677557,0,1,0,0,0,0,0,0,0,pin30
chr1+226677955,0,0,0,0,0,0,1,0,0,pin30
chr1+230239948,0,0,0,0,0,0,1,0,0,pin30
chr1+230241495,0,0,0,0,0,0,1,0,0,pin30
chr1+234409312,0,0,0,0,0,0,1,0,0,pin30
chr1+235010307,0,0,1,0,0,0,0,0,0,pin30
chr1+235907333,0,0,0,0,0,0,1,0,0,pin30
chr1+239709656,0,0,0,0,0,0,1,0,0,pin30
chr1+23979441,0,0,0,0,0,0,0,1,0,pin30
chr1+246380714,0,0,0,0,0,0,1,0,0,pin30
chr1+24675392,0,0,0,0,1,0,0,0,0,pin30
chr1+24968339,0,0,0,0,0,0,1,0,0,pin30
chr1+25027388,0,0,0,0,0,0,1,0,0,pin30
chr1+27873807,0,1,0,0,0,0,0,0,0,pin30
chr1+28298553,0,0,0,0,0,0,1,0,0,pin30
chr1+28633966,0,0,0,0,1,0,0,0,0,pin30
chr1+28924520,0,0,1,0,0,0,0,0,0,pin30
chr1+31934674,0,0,0,0,0,0,1,0,0,pin30
chr1+32249343,0,0,0,0,0,0,1,0,0,pin30
chr1+32250899,0,0,0,0,0,0,1,0,0,pin30
chr1+32989257,0,0,0,0,0,0,1,0,0,pin30
chr1+33099069,0,0,0,0,0,0,1,0,0,pin30
chr1+35407315,0,0,0,0,1,0,0,0,0,pin30
chr1+40265317,0,1,0,0,0,0,0,0,0,pin30
chr1+53238191,0,0,0,0,0,0,1,0,0,pin30
chr1+59026497,0,0,0,0,0,0,1,0,0,pin30
chr1+59561617,0,0,0,0,0,0,1,0,0,pin30
chr1+60441133,0,0,0,0,1,0,0,0,0,pin30
chr1+62598246,0,0,0,0,0,0,1,0,0,pin30
chr1+66336962,0,0,0,0,0,0,1,0,0,pin30
chr1+66370395,0,0,0,0,0,0,1,0,0,pin30
chr1+66779799,0,0,0,0,0,1,0,0,0,pin30
chr1+76295148,0,0,0,0,0,0,1,0,0,pin30
chr1+76494079,0,0,0,0,0,0,1,0,0,pin30
chr1+82575709,0,0,0,0,0,0,1,0,0,pin30
chr1+8310261,0,0,0,0,1,0,0,0,0,pin30
chr1+91557493,0,0,0,0,0,0,1,0,0,pin30
chr1+9200337,0,0,0,0,0,0,1,0,0,pin30
chr1+930731,0,0,0,0,2,1,0,0,0,pin30
chr1+930774,0,0,0,0,0,1,0,0,0,pin30
chr10-100531831,0,0,0,0,0,0,1,0,0,pin30
chr10-103693883,0,0,0,0,0,0,1,0,0,pin30
chr10-103909750,0,0,0,0,0,0,1,0,0,pin30
chr10-103913216,0,0,0,0,0,0,1,0,0,pin30
chr10-110868944,0,0,0,0,0,0,1,0,0,pin30
chr10-110869809,0,0,1,0,0,0,0,0,0,pin30
chr10-11148598,0,0,0,0,0,1,0,0,0,pin30
chr10-11210417,0,0,0,0,0,0,1,0,0,pin30
chr10-112377179,0,0,0,0,0,0,1,0,0,pin30
chr10-112387914,0,0,0,0,0,0,1,0,0,pin30
chr10-11332966,0,0,0,0,0,0,1,0,0,pin30
chr10-114175381,0,0,0,0,0,0,1,0,0,pin30
chr10-114335863,0,0,0,0,0,0,1,0,0,pin30
chr10-11439533,0,0,0,0,0,0,1,0,0,pin30
chr10-114499963,0,0,1,0,0,0,0,0,0,pin30
chr10-114512550,0,0,0,0,0,0,1,0,0,pin30
chr10-114521810,0,0,0,0,0,0,1,0,0,pin30
chr10-114925251,0,0,0,0,0,0,1,0,0,pin30
chr10-114969223,0,0,0,0,0,0,1,0,0,pin30
chr10-119498827,0,0,0,0,0,0,1,0,0,pin30
chr10-119538492,0,0,0,0,0,0,1,0,0,pin30
chr10-119729571,0,0,0,0,0,0,1,0,0,pin30
chr10-12043531,0,0,0,0,0,0,1,0,0,pin30
chr10-12405814,0,0,1,0,0,0,0,0,0,pin30
chr10-124834674,0,0,0,0,0,0,1,0,0,pin30
chr10-12636773,0,0,0,0,0,0,1,0,0,pin30
chr10-133374234,0,0,0,0,0,0,1,0,0,pin30
chr10-16409011,0,0,1,0,0,0,0,0,0,pin30
chr10-21089106,0,0,0,0,0,0,1,0,0,pin30
chr10-22307345,0,0,0,1,0,0,0,0,0,pin30
chr10-22683145,0,0,0,0,0,0,1,0,0,pin30
chr10-22975721,0,0,0,0,0,0,1,0,0,pin30
chr10-23513049,0,0,0,0,0,0,1,0,0,pin30
chr10-23557394,0,0,0,0,0,0,1,0,0,pin30
chr10-24466719,0,0,0,0,0,0,1,0,0,pin30
chr10-24602407,0,0,0,0,0,0,1,0,0,pin30
chr10-29484623,0,0,0,0,0,0,0,1,0,pin30
chr10-29867300,0,0,0,0,0,0,0,0,1,pin30
chr10-30986695,0,0,0,0,0,0,1,0,0,pin30
chr10-31707340,0,0,0,0,0,0,1,0,0,pin30
chr10-32318694,0,0,0,0,0,0,1,0,0,pin30
chr10-32332681,0,0,0,0,0,0,1,0,0,pin30
chr10-32333701,0,0,0,0,0,0,1,0,0,pin30
chr10-32445104,0,0,0,0,0,0,1,0,0,pin30
chr10-32447101,0,0,0,0,0,0,1,0,0,pin30
chr10-35540921,0,0,0,0,0,0,1,0,0,pin30
chr10-35541203,0,0,0,0,0,0,1,0,0,pin30
chr10-38011908,0,0,0,0,0,0,1,0,0,pin30
chr10-3934105,0,0,0,0,0,0,1,0,0,pin30
chr10-3934116,0,0,0,0,0,0,1,0,0,pin30
chr10-42636055,0,0,0,0,0,0,1,0,0,pin30
chr10-42637116,0,0,0,0,0,0,1,0,0,pin30
chr10-43418662,0,0,0,0,0,0,1,0,0,pin30
chr10-43450802,0,0,0,0,0,0,1,0,0,pin30
chr10-43808687,0,0,0,0,0,0,1,0,0,pin30
chr10-45420411,0,0,0,0,0,0,1,0,0,pin30
chr10-58265743,0,0,0,0,0,0,1,0,0,pin30
chr10-59879116,0,0,0,0,0,0,1,0,0,pin30
chr10-6069973,0,0,0,0,0,0,1,0,0,pin30
chr10-6074024,0,0,0,0,0,1,0,0,0,pin30
chr10-6082671,0,0,0,1,0,0,0,0,0,pin30
chr10-6086218,0,0,0,1,0,0,0,0,0,pin30
chr10-62016630,0,0,0,0,0,0,1,0,0,pin30
chr10-62068975,0,0,0,0,0,0,1,0,0,pin30
chr10-6268271,0,0,0,0,0,0,1,0,0,pin30
chr10-6595539,0,0,0,1,0,0,0,0,0,pin30
chr10-6606828,0,0,0,0,0,0,1,0,0,pin30
chr10-67821880,0,0,0,0,0,0,1,0,0,pin30
chr10-68337624,0,0,0,0,0,0,1,0,0,pin30
chr10-69047455,0,0,0,0,0,0,1,0,0,pin30
chr10-70835269,0,0,0,0,0,0,1,0,0,pin30
chr10-71850541,0,0,0,0,0,0,0,0,2,pin30
chr10-71851991,0,0,0,0,0,0,1,0,0,pin30
chr10-72248483,0,0,0,0,0,0,1,0,0,pin30
chr10-72305059,0,0,0,0,0,0,1,0,0,pin30
chr10-7484879,0,0,0,0,0,0,1,0,0,pin30
chr10-74968530,0,0,0,0,0,0,1,0,0,pin30
chr10-77703970,0,0,0,0,0,1,0,0,0,pin30
chr10-78459970,0,0,0,0,0,0,1,0,0,pin30
chr10-79245901,0,0,0,0,0,1,0,0,0,pin30
chr10-79824980,0,0,0,0,0,1,0,0,0,pin30
chr10-80500061,0,0,0,0,0,0,1,0,0,pin30
chr10-80500480,0,0,0,0,0,0,1,0,0,pin30
chr10-8453658,0,0,0,0,0,0,0,1,0,pin30
chr10-86412797,0,1,0,0,0,0,0,0,0,pin30
chr10-86414220,0,0,0,0,0,0,1,0,0,pin30
chr10-8990945,0,0,1,0,0,0,0,0,0,pin30
chr10-9026420,0,0,0,0,0,0,1,0,0,pin30
chr10-95486501,0,0,0,0,0,0,1,0,0,pin30
chr10-95487686,0,0,0,0,0,0,1,0,0,pin30
chr10-95836765,0,0,0,0,0,1,0,0,0,pin30
chr10-97424402,0,0,0,0,0,1,0,0,0,pin30
chr10-9787492,0,0,0,0,0,0,1,0,0,pin30
chr10+100372203,0,0,0,0,0,0,1,0,0,pin30
chr10+100508227,0,1,0,0,0,0,0,0,0,pin30
chr10+100535486,1,0,0,0,0,0,0,0,0,pin30
chr10+101820131,0,0,0,0,0,0,1,0,0,pin30
chr10+102702219,0,0,0,0,0,0,1,0,0,pin30
chr10+102709859,0,0,0,0,0,0,1,0,0,pin30
chr10+110739731,0,0,0,0,0,0,1,0,0,pin30
chr10+11172226,0,0,0,0,0,0,1,0,0,pin30
chr10+112694852,0,0,0,0,1,0,0,0,0,pin30
chr10+113679970,0,1,0,0,0,0,0,0,0,pin30
chr10+114496945,0,0,0,0,0,0,0,1,0,pin30
chr10+114925639,0,0,0,0,0,0,1,0,0,pin30
chr10+114933423,0,0,0,0,0,0,1,0,0,pin30
chr10+119650857,0,0,0,0,0,0,1,0,0,pin30
chr10+12123550,0,0,0,0,1,0,0,0,0,pin30
chr10+122868315,1,0,0,0,0,0,0,0,0,pin30
chr10+122879071,0,0,0,0,0,0,1,0,0,pin30
chr10+123326333,0,0,0,0,0,0,1,0,0,pin30
chr10+12449100,0,0,0,0,0,0,1,0,0,pin30
chr10+12606636,0,0,0,0,0,0,1,0,0,pin30
chr10+12713297,0,0,0,1,0,0,0,0,0,pin30
chr10+128063469,0,0,0,0,0,1,0,0,0,pin30
chr10+128063494,0,0,0,0,0,0,1,0,0,pin30
chr10+17024637,0,0,0,0,0,0,1,0,0,pin30
chr10+17025902,0,0,0,0,0,0,1,0,0,pin30
chr10+17027750,0,0,0,6,0,0,0,0,0,pin30
chr10+17216827,0,0,0,0,1,0,0,0,0,pin30
chr10+17217410,0,0,0,0,0,0,1,0,0,pin30
chr10+17646687,0,0,0,0,0,0,1,0,0,pin30
chr10+17647224,0,0,0,0,0,0,1,0,0,pin30
chr10+22247757,0,1,0,0,0,0,0,0,0,pin30
chr10+22247923,0,0,0,0,0,0,1,0,0,pin30
chr10+22650354,0,0,0,0,0,0,1,0,0,pin30
chr10+24888995,0,1,0,0,0,0,0,0,0,pin30
chr10+27104435,0,0,0,0,0,0,1,0,0,pin30
chr10+27506999,0,0,0,0,0,1,0,0,0,pin30
chr10+28293352,0,1,0,0,0,0,0,0,0,pin30
chr10+29483625,0,0,0,0,0,0,1,0,0,pin30
chr10+30680957,0,0,0,0,0,0,1,0,0,pin30
chr10+30684440,0,0,0,0,0,0,1,0,0,pin30
chr10+30686170,0,0,0,0,0,0,1,0,0,pin30
chr10+31100608,0,0,0,0,0,0,1,0,0,pin30
chr10+31134569,0,0,0,0,0,0,1,0,0,pin30
chr10+33365475,0,0,0,0,0,0,1,0,0,pin30
chr10+33735272,0,0,0,0,0,0,1,0,0,pin30
chr10+37977150,0,1,0,0,0,0,0,0,0,pin30
chr10+3800476,0,0,0,0,0,0,1,0,0,pin30
chr10+3829142,0,0,0,0,0,0,1,0,0,pin30
chr10+43122825,0,0,0,0,0,0,1,0,0,pin30
chr10+43139469,0,0,0,0,0,0,1,0,0,pin30
chr10+45419989,0,0,0,0,0,0,1,0,0,pin30
chr10+5427847,0,0,0,0,0,0,1,0,0,pin30
chr10+56358797,0,0,1,0,0,0,0,0,0,pin30
chr10+59907638,0,0,0,1,0,0,0,0,0,pin30
chr10+60569431,0,0,0,0,0,0,1,0,0,pin30
chr10+6065835,0,0,0,0,0,1,0,0,0,pin30
chr10+6068403,0,0,0,1,0,0,0,0,0,pin30
chr10+6070445,0,0,0,1,0,0,0,0,0,pin30
chr10+6073005,0,0,0,0,0,3,0,0,0,pin30
chr10+6074333,0,0,0,0,0,1,0,0,0,pin30
chr10+6075344,0,0,0,1,0,0,0,0,0,pin30
chr10+6083732,0,0,0,1,0,0,0,0,0,pin30
chr10+61945144,0,0,0,0,0,0,1,0,0,pin30
chr10+62049768,0,0,0,0,0,0,1,0,0,pin30
chr10+62631722,0,0,0,0,0,0,1,0,0,pin30
chr10+63442344,0,0,0,0,0,0,1,0,0,pin30
chr10+63512130,0,0,0,0,0,0,1,0,0,pin30
chr10+6583188,0,0,0,0,0,0,1,0,0,pin30
chr10+68997460,0,0,0,0,0,0,1,0,0,pin30
chr10+69000207,0,0,0,1,0,0,0,0,0,pin30
chr10+69223634,0,0,0,0,0,0,1,0,0,pin30
chr10+6927379,0,1,0,0,0,0,0,0,0,pin30
chr10+70146567,0,0,0,0,0,0,1,0,0,pin30
chr10+72109324,0,0,0,0,0,0,1,0,0,pin30
chr10+72219398,0,0,0,0,0,1,0,0,0,pin30
chr10+72296496,0,0,0,0,0,0,1,0,0,pin30
chr10+74179278,0,0,0,0,0,0,1,0,0,pin30
chr10+74587347,0,0,0,0,0,0,1,0,0,pin30
chr10+74853424,0,0,0,0,0,0,1,0,0,pin30
chr10+75110485,0,0,0,0,0,0,1,0,0,pin30
chr10+79997088,0,0,0,0,0,0,1,0,0,pin30
chr10+83680174,0,0,0,0,0,0,1,0,0,pin30
chr10+88878738,0,0,0,1,0,0,0,0,0,pin30
chr10+88993774,0,0,0,0,0,0,1,0,0,pin30
chr10+8986724,0,0,0,0,1,0,0,0,0,pin30
chr10+9024732,0,0,0,0,0,0,1,0,0,pin30
chr10+94546069,0,0,0,0,0,0,1,0,0,pin30
chr10+95762414,0,0,0,0,0,0,1,0,0,pin30
chr10+95833599,0,0,0,0,0,0,1,0,0,pin30
chr10+97425461,0,0,0,0,0,0,1,0,0,pin30
chr10+987783,0,0,0,0,0,0,1,0,0,pin30
chr10+99807303,0,0,1,0,0,0,0,0,0,pin30
chr11-102306196,0,0,0,0,0,0,1,0,0,pin30
chr11-104706856,0,0,0,0,0,0,1,0,0,pin30
chr11-104968492,0,0,0,0,0,0,1,0,0,pin30
chr11-106021577,0,0,0,0,0,0,1,0,0,pin30
chr11-108236416,0,0,0,0,0,0,1,0,0,pin30
chr11-108240325,0,0,0,0,0,0,1,0,0,pin30
chr11-10857480,0,0,0,0,0,0,1,0,0,pin30
chr11-10899582,0,0,0,0,0,0,1,0,0,pin30
chr11-110338097,0,0,0,0,0,0,1,0,0,pin30
chr11-110346809,0,0,0,0,0,0,1,0,0,pin30
chr11-110348179,0,0,0,0,0,0,1,0,0,pin30
chr11-110350867,0,0,0,0,0,0,1,0,0,pin30
chr11-111373478,0,0,0,0,0,0,1,0,0,pin30
chr11-111373509,0,0,0,0,0,0,1,0,0,pin30
chr11-113673975,0,0,0,0,0,0,1,0,0,pin30
chr11-118047420,0,0,0,0,0,0,1,0,0,pin30
chr11-118340974,0,0,0,0,0,0,1,0,0,pin30
chr11-118343350,0,0,0,0,0,0,0,1,0,pin30
chr11-119085776,0,0,0,0,0,0,1,0,0,pin30
chr11-121829618,0,0,0,1,0,0,0,0,0,pin30
chr11-12206934,0,0,0,0,0,0,1,0,0,pin30
chr11-122845643,0,0,0,0,0,0,1,0,0,pin30
chr11-123455692,0,0,0,0,0,0,1,0,0,pin30
chr11-128053528,0,0,0,0,0,0,1,0,0,pin30
chr11-128321333,0,0,0,0,0,0,1,0,0,pin30
chr11-129643460,0,0,0,0,1,0,0,0,0,pin30
chr11-130882595,0,1,0,0,0,0,0,0,0,pin30
chr11-15816818,0,0,0,0,0,0,0,1,0,pin30
chr11-16900825,0,0,0,0,0,0,1,0,0,pin30
chr11-18588165,0,0,0,0,0,1,0,0,0,pin30
chr11-18706986,0,0,0,0,0,0,1,0,0,pin30
